3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
Commit quorum changed successfully!, time:  1692690370338875443  commit quorum:  [0]
[0]  Meets Latency req:  false  EWMA:  map[0:Id: 0, EWMA: 56485773.336345 1:Id: 1, EWMA: 56417489.832537 2:Id: 2, EWMA: 27119380.112481 4:Id: 4, EWMA: 449854.877943]
3  Leader changing commit quorum:  [4]  time:  1692690374311040830
3  Leader changing EWMA Map:  map[0:Id: 0, EWMA: 56485773.336345 1:Id: 1, EWMA: 56417489.832537 2:Id: 2, EWMA: 27119380.112481 4:Id: 4, EWMA: 449854.877943]
Commit quorum changed successfully!, time:  1692690374338582608  commit quorum:  [4]
2023-08-22 07:46:16.839263572 +0000 UTC m=+21.598749378 ,  2023-08-22 07:46:16.8483112 +0000 UTC m=+21.607797026 ,  9047518
2023-08-22 07:46:16.877537792 +0000 UTC m=+21.637023628 ,  2023-08-22 07:46:16.879296656 +0000 UTC m=+21.638782452 ,  1758764
2023-08-22 07:46:17.142224 +0000 UTC m=+21.901709796 ,  2023-08-22 07:46:17.147169589 +0000 UTC m=+21.906655415 ,  4945479
2023-08-22 07:46:17.176389578 +0000 UTC m=+21.935875405 ,  2023-08-22 07:46:17.1791292 +0000 UTC m=+21.938615006 ,  2739531
2023-08-22 07:46:17.441367075 +0000 UTC m=+22.200852902 ,  2023-08-22 07:46:17.448382114 +0000 UTC m=+22.207867940 ,  7014897
2023-08-22 07:46:17.477555115 +0000 UTC m=+22.237040941 ,  2023-08-22 07:46:17.480295188 +0000 UTC m=+22.239781014 ,  2739942
2023-08-22 07:46:17.743559706 +0000 UTC m=+22.503045523 ,  2023-08-22 07:46:17.749472688 +0000 UTC m=+22.508958484 ,  5912901
2023-08-22 07:46:17.778645739 +0000 UTC m=+22.538131565 ,  2023-08-22 07:46:17.781651893 +0000 UTC m=+22.541137719 ,  3006024
2023-08-22 07:46:18.044582072 +0000 UTC m=+22.804067898 ,  2023-08-22 07:46:18.05031248 +0000 UTC m=+22.809798306 ,  5730268
2023-08-22 07:46:18.079450264 +0000 UTC m=+22.838936060 ,  2023-08-22 07:46:18.08236196 +0000 UTC m=+22.841847787 ,  2911586
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 37235740.133994 1:Id: 1, EWMA: 37182070.930402 2:Id: 2, EWMA: 18328724.094643 4:Id: 4, EWMA: 496169.907692]
2023-08-22 07:46:18.344808819 +0000 UTC m=+23.104294635 ,  2023-08-22 07:46:18.351736363 +0000 UTC m=+23.111222189 ,  6927424
2023-08-22 07:46:18.38081189 +0000 UTC m=+23.140297716 ,  2023-08-22 07:46:18.384090397 +0000 UTC m=+23.143576213 ,  3278367
2023-08-22 07:46:18.646404294 +0000 UTC m=+23.405890130 ,  2023-08-22 07:46:18.652525328 +0000 UTC m=+23.412011144 ,  6120884
2023-08-22 07:46:18.681649245 +0000 UTC m=+23.441135072 ,  2023-08-22 07:46:18.684559489 +0000 UTC m=+23.444045315 ,  2910093
2023-08-22 07:46:18.947504937 +0000 UTC m=+23.706990773 ,  2023-08-22 07:46:18.95255911 +0000 UTC m=+23.712044936 ,  5054023
2023-08-22 07:46:18.981724857 +0000 UTC m=+23.741210683 ,  2023-08-22 07:46:18.984483425 +0000 UTC m=+23.743969241 ,  2758428
2023-08-22 07:46:19.249154836 +0000 UTC m=+24.008640662 ,  2023-08-22 07:46:19.252242775 +0000 UTC m=+24.011728571 ,  3087849
2023-08-22 07:46:19.281467743 +0000 UTC m=+24.040953559 ,  2023-08-22 07:46:19.284258662 +0000 UTC m=+24.043744478 ,  2790779
2023-08-22 07:46:19.546691983 +0000 UTC m=+24.306177809 ,  2023-08-22 07:46:19.550470062 +0000 UTC m=+24.309955888 ,  3777839
2023-08-22 07:46:19.579663953 +0000 UTC m=+24.339149779 ,  2023-08-22 07:46:19.582431908 +0000 UTC m=+24.341917724 ,  2767855
2023-08-22 07:46:19.845544731 +0000 UTC m=+24.605030547 ,  2023-08-22 07:46:19.852960305 +0000 UTC m=+24.612446101 ,  7415494
2023-08-22 07:46:19.882148895 +0000 UTC m=+24.641634721 ,  2023-08-22 07:46:19.885066513 +0000 UTC m=+24.644552319 ,  2917548
2023-08-22 07:46:20.147546103 +0000 UTC m=+24.907031929 ,  2023-08-22 07:46:20.15451234 +0000 UTC m=+24.913998166 ,  6966107
2023-08-22 07:46:20.183733722 +0000 UTC m=+24.943219558 ,  2023-08-22 07:46:20.186632023 +0000 UTC m=+24.946117849 ,  2898151
2023-08-22 07:46:20.448418576 +0000 UTC m=+25.207904403 ,  2023-08-22 07:46:20.455279214 +0000 UTC m=+25.214765030 ,  6860487
2023-08-22 07:46:20.484211581 +0000 UTC m=+25.243697387 ,  2023-08-22 07:46:20.487003993 +0000 UTC m=+25.246489809 ,  2792291
2023-08-22 07:46:20.749886992 +0000 UTC m=+25.509372808 ,  2023-08-22 07:46:20.75593637 +0000 UTC m=+25.515422166 ,  6049288
2023-08-22 07:46:20.785089203 +0000 UTC m=+25.544575029 ,  2023-08-22 07:46:20.787870393 +0000 UTC m=+25.547356220 ,  2781050
2023-08-22 07:46:21.050441315 +0000 UTC m=+25.809927141 ,  2023-08-22 07:46:21.057454319 +0000 UTC m=+25.816940145 ,  7012864
2023-08-22 07:46:21.0865268 +0000 UTC m=+25.846012636 ,  2023-08-22 07:46:21.089344089 +0000 UTC m=+25.848829905 ,  2817139
2023-08-22 07:46:21.352359598 +0000 UTC m=+26.111845424 ,  2023-08-22 07:46:21.357989607 +0000 UTC m=+26.117475413 ,  5629919
2023-08-22 07:46:21.387179109 +0000 UTC m=+26.146664935 ,  2023-08-22 07:46:21.389954519 +0000 UTC m=+26.149440345 ,  2775270
2023-08-22 07:46:21.652425842 +0000 UTC m=+26.411911668 ,  2023-08-22 07:46:21.65807675 +0000 UTC m=+26.417562577 ,  5650768
2023-08-22 07:46:21.687321757 +0000 UTC m=+26.446807583 ,  2023-08-22 07:46:21.689152256 +0000 UTC m=+26.448638082 ,  1830359
2023-08-22 07:46:21.951791776 +0000 UTC m=+26.711277602 ,  2023-08-22 07:46:21.958339915 +0000 UTC m=+26.717825731 ,  6547999
2023-08-22 07:46:21.987629225 +0000 UTC m=+26.747115061 ,  2023-08-22 07:46:21.98947852 +0000 UTC m=+26.748964316 ,  1849195
2023-08-22 07:46:22.252101489 +0000 UTC m=+27.011587325 ,  2023-08-22 07:46:22.258754676 +0000 UTC m=+27.018240492 ,  6653037
2023-08-22 07:46:22.287999011 +0000 UTC m=+27.047484837 ,  2023-08-22 07:46:22.290818003 +0000 UTC m=+27.050303829 ,  2818862
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 33713706.461234 1:Id: 1, EWMA: 33706226.879001 2:Id: 2, EWMA: 16461201.277808 4:Id: 4, EWMA: 470473.671059]
2023-08-22 07:46:22.55381105 +0000 UTC m=+27.313296866 ,  2023-08-22 07:46:22.560608288 +0000 UTC m=+27.320094094 ,  6797148
2023-08-22 07:46:22.589673054 +0000 UTC m=+27.349158850 ,  2023-08-22 07:46:22.592407176 +0000 UTC m=+27.351893002 ,  2734012
2023-08-22 07:46:22.855268566 +0000 UTC m=+27.614754392 ,  2023-08-22 07:46:22.861274844 +0000 UTC m=+27.620760670 ,  6006117
2023-08-22 07:46:22.890481617 +0000 UTC m=+27.649967443 ,  2023-08-22 07:46:22.892339649 +0000 UTC m=+27.651825445 ,  1857942
2023-08-22 07:46:23.15477812 +0000 UTC m=+27.914263936 ,  2023-08-22 07:46:23.161571191 +0000 UTC m=+27.921056987 ,  6792981
2023-08-22 07:46:23.190682845 +0000 UTC m=+27.950168671 ,  2023-08-22 07:46:23.193552703 +0000 UTC m=+27.953038499 ,  2869758
2023-08-22 07:46:23.456183899 +0000 UTC m=+28.215669725 ,  2023-08-22 07:46:23.461970352 +0000 UTC m=+28.221456158 ,  5786353
2023-08-22 07:46:23.491160175 +0000 UTC m=+28.250645971 ,  2023-08-22 07:46:23.494057083 +0000 UTC m=+28.253542889 ,  2896838
2023-08-22 07:46:23.75715107 +0000 UTC m=+28.516636896 ,  2023-08-22 07:46:23.762111076 +0000 UTC m=+28.521596882 ,  4959906
2023-08-22 07:46:23.791316818 +0000 UTC m=+28.550802644 ,  2023-08-22 07:46:23.794617849 +0000 UTC m=+28.554103645 ,  3300931
2023-08-22 07:46:24.057195592 +0000 UTC m=+28.816681408 ,  2023-08-22 07:46:24.064489636 +0000 UTC m=+28.823975432 ,  7293844
2023-08-22 07:46:24.093659621 +0000 UTC m=+28.853145427 ,  2023-08-22 07:46:24.095345477 +0000 UTC m=+28.854831273 ,  1685786
2023-08-22 07:46:24.357635168 +0000 UTC m=+29.117120995 ,  2023-08-22 07:46:24.364550508 +0000 UTC m=+29.124036325 ,  6915199
2023-08-22 07:46:24.39386179 +0000 UTC m=+29.153347626 ,  2023-08-22 07:46:24.395692289 +0000 UTC m=+29.155178095 ,  1830389
2023-08-22 07:46:24.65775905 +0000 UTC m=+29.417244876 ,  2023-08-22 07:46:24.664742408 +0000 UTC m=+29.424228234 ,  6983218
2023-08-22 07:46:24.693942821 +0000 UTC m=+29.453428647 ,  2023-08-22 07:46:24.696757234 +0000 UTC m=+29.456243060 ,  2814273
2023-08-22 07:46:24.959490301 +0000 UTC m=+29.718976127 ,  2023-08-22 07:46:24.964214072 +0000 UTC m=+29.723699898 ,  4723631
2023-08-22 07:46:24.993322541 +0000 UTC m=+29.752808367 ,  2023-08-22 07:46:24.99620369 +0000 UTC m=+29.755689506 ,  2880999
2023-08-22 07:46:25.25863578 +0000 UTC m=+30.018121596 ,  2023-08-22 07:46:25.264468902 +0000 UTC m=+30.023954698 ,  5833032
2023-08-22 07:46:25.293685725 +0000 UTC m=+30.053171551 ,  2023-08-22 07:46:25.297771524 +0000 UTC m=+30.057257320 ,  4085699
2023-08-22 07:46:25.565323882 +0000 UTC m=+30.324809678 ,  2023-08-22 07:46:25.575090867 +0000 UTC m=+30.334576663 ,  9766914
2023-08-22 07:46:25.60413826 +0000 UTC m=+30.363624086 ,  2023-08-22 07:46:25.606976648 +0000 UTC m=+30.366462474 ,  2838258
2023-08-22 07:46:25.869513456 +0000 UTC m=+30.628999292 ,  2023-08-22 07:46:25.876550215 +0000 UTC m=+30.636036052 ,  7036599
2023-08-22 07:46:25.905762811 +0000 UTC m=+30.665248627 ,  2023-08-22 07:46:25.908775167 +0000 UTC m=+30.668260983 ,  3012226
2023-08-22 07:46:26.171336671 +0000 UTC m=+30.930822497 ,  2023-08-22 07:46:26.176168756 +0000 UTC m=+30.935654562 ,  4831965
2023-08-22 07:46:26.205312541 +0000 UTC m=+30.964798368 ,  2023-08-22 07:46:26.208135961 +0000 UTC m=+30.967621757 ,  2823319
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 38497676.242013 1:Id: 1, EWMA: 38425838.762569 2:Id: 2, EWMA: 18834288.612079 4:Id: 4, EWMA: 486407.391364]
2023-08-22 07:46:26.471223676 +0000 UTC m=+31.230709492 ,  2023-08-22 07:46:26.47707937 +0000 UTC m=+31.236565176 ,  5855614
2023-08-22 07:46:26.506224899 +0000 UTC m=+31.265710715 ,  2023-08-22 07:46:26.509142978 +0000 UTC m=+31.268628804 ,  2917959
2023-08-22 07:46:26.771860515 +0000 UTC m=+31.531346331 ,  2023-08-22 07:46:26.778777068 +0000 UTC m=+31.538262874 ,  6916463
2023-08-22 07:46:26.807954416 +0000 UTC m=+31.567440232 ,  2023-08-22 07:46:26.810946234 +0000 UTC m=+31.570432040 ,  2991728
2023-08-22 07:46:27.0740085 +0000 UTC m=+31.833494326 ,  2023-08-22 07:46:27.078976932 +0000 UTC m=+31.838462728 ,  4968222
2023-08-22 07:46:27.108131929 +0000 UTC m=+31.867617785 ,  2023-08-22 07:46:27.111035841 +0000 UTC m=+31.870521667 ,  2903631
2023-08-22 07:46:27.374201324 +0000 UTC m=+32.133687130 ,  2023-08-22 07:46:27.379696868 +0000 UTC m=+32.139182665 ,  5495474
2023-08-22 07:46:27.40883828 +0000 UTC m=+32.168324076 ,  2023-08-22 07:46:27.411886163 +0000 UTC m=+32.171371989 ,  3047773
2023-08-22 07:46:27.674724197 +0000 UTC m=+32.434210013 ,  2023-08-22 07:46:27.680748759 +0000 UTC m=+32.440234585 ,  6024442
2023-08-22 07:46:27.709906852 +0000 UTC m=+32.469392678 ,  2023-08-22 07:46:27.713077917 +0000 UTC m=+32.472563713 ,  3170975
2023-08-22 07:46:27.975768634 +0000 UTC m=+32.735254460 ,  2023-08-22 07:46:27.982631897 +0000 UTC m=+32.742117703 ,  6863163
2023-08-22 07:46:28.01177967 +0000 UTC m=+32.771265517 ,  2023-08-22 07:46:28.014675517 +0000 UTC m=+32.774161323 ,  2895716
2023-08-22 07:46:28.277357527 +0000 UTC m=+33.036843353 ,  2023-08-22 07:46:28.28303741 +0000 UTC m=+33.042523216 ,  5679783
2023-08-22 07:46:28.312198839 +0000 UTC m=+33.071684675 ,  2023-08-22 07:46:28.315405982 +0000 UTC m=+33.074891778 ,  3207043
2023-08-22 07:46:28.577847178 +0000 UTC m=+33.337332994 ,  2023-08-22 07:46:28.583233949 +0000 UTC m=+33.342719755 ,  5386681
2023-08-22 07:46:28.612334513 +0000 UTC m=+33.371820340 ,  2023-08-22 07:46:28.614133864 +0000 UTC m=+33.373619670 ,  1799260
2023-08-22 07:46:28.878607011 +0000 UTC m=+33.638092827 ,  2023-08-22 07:46:28.884188809 +0000 UTC m=+33.643674615 ,  5581708
2023-08-22 07:46:28.913298039 +0000 UTC m=+33.672783845 ,  2023-08-22 07:46:28.916361201 +0000 UTC m=+33.675847007 ,  3063092
2023-08-22 07:46:29.179032333 +0000 UTC m=+33.938518159 ,  2023-08-22 07:46:29.185908459 +0000 UTC m=+33.945394265 ,  6876026
2023-08-22 07:46:29.21507659 +0000 UTC m=+33.974562416 ,  2023-08-22 07:46:29.217974872 +0000 UTC m=+33.977460668 ,  2898181
2023-08-22 07:46:29.4811808 +0000 UTC m=+34.240666606 ,  2023-08-22 07:46:29.486081434 +0000 UTC m=+34.245567240 ,  4900564
2023-08-22 07:46:29.515265456 +0000 UTC m=+34.274751272 ,  2023-08-22 07:46:29.518199023 +0000 UTC m=+34.277684849 ,  2933317
2023-08-22 07:46:29.780648226 +0000 UTC m=+34.540134052 ,  2023-08-22 07:46:29.787896073 +0000 UTC m=+34.547381899 ,  7247707
2023-08-22 07:46:29.816977731 +0000 UTC m=+34.576463557 ,  2023-08-22 07:46:29.819867647 +0000 UTC m=+34.579353473 ,  2889766
2023-08-22 07:46:29.849135696 +0000 UTC m=+34.608621513 ,  2023-08-22 07:46:29.853128911 +0000 UTC m=+34.612614717 ,  3993034
2023-08-22 07:46:29.849178427 +0000 UTC m=+34.608664253 ,  2023-08-22 07:46:29.853198472 +0000 UTC m=+34.612684268 ,  4019875
2023-08-22 07:46:29.849230936 +0000 UTC m=+34.608716762 ,  2023-08-22 07:46:29.853209152 +0000 UTC m=+34.612694948 ,  3978106
2023-08-22 07:46:29.849305567 +0000 UTC m=+34.608791393 ,  2023-08-22 07:46:29.853226295 +0000 UTC m=+34.612712101 ,  3920587
2023-08-22 07:46:29.849117512 +0000 UTC m=+34.608603338 ,  2023-08-22 07:46:29.853176912 +0000 UTC m=+34.612662738 ,  4058067
2023-08-22 07:46:29.849492419 +0000 UTC m=+34.608978245 ,  2023-08-22 07:46:29.853276559 +0000 UTC m=+34.612762365 ,  3784070
2023-08-22 07:46:29.849537243 +0000 UTC m=+34.609023059 ,  2023-08-22 07:46:29.853286167 +0000 UTC m=+34.612771974 ,  3748774
2023-08-22 07:46:29.849246615 +0000 UTC m=+34.608732442 ,  2023-08-22 07:46:29.853242465 +0000 UTC m=+34.612728261 ,  3995749
2023-08-22 07:46:29.849358546 +0000 UTC m=+34.608844362 ,  2023-08-22 07:46:29.853251041 +0000 UTC m=+34.612736837 ,  3892325
2023-08-22 07:46:29.849535009 +0000 UTC m=+34.609020825 ,  2023-08-22 07:46:29.853289223 +0000 UTC m=+34.612775019 ,  3753814
2023-08-22 07:46:29.849180621 +0000 UTC m=+34.608666437 ,  2023-08-22 07:46:29.853187381 +0000 UTC m=+34.612673177 ,  4006620
2023-08-22 07:46:29.849397239 +0000 UTC m=+34.608883065 ,  2023-08-22 07:46:29.853267833 +0000 UTC m=+34.612753629 ,  3870514
2023-08-22 07:46:29.849438487 +0000 UTC m=+34.608924313 ,  2023-08-22 07:46:29.853269396 +0000 UTC m=+34.612755192 ,  3830829
2023-08-22 07:46:29.849511745 +0000 UTC m=+34.608997561 ,  2023-08-22 07:46:29.85327693 +0000 UTC m=+34.612762736 ,  3765015
2023-08-22 07:46:29.849215507 +0000 UTC m=+34.608701333 ,  2023-08-22 07:46:29.853222718 +0000 UTC m=+34.612708524 ,  4006219
2023-08-22 07:46:29.849565406 +0000 UTC m=+34.609051232 ,  2023-08-22 07:46:29.853311455 +0000 UTC m=+34.612797261 ,  3745859
2023-08-22 07:46:29.849316016 +0000 UTC m=+34.608801832 ,  2023-08-22 07:46:29.853250811 +0000 UTC m=+34.612736607 ,  3934685
2023-08-22 07:46:29.84972656 +0000 UTC m=+34.609212376 ,  2023-08-22 07:46:29.853321594 +0000 UTC m=+34.612807390 ,  3594964
2023-08-22 07:46:29.849675363 +0000 UTC m=+34.609161230 ,  2023-08-22 07:46:29.853325512 +0000 UTC m=+34.612811308 ,  3650028
2023-08-22 07:46:29.849568562 +0000 UTC m=+34.609054388 ,  2023-08-22 07:46:29.853312808 +0000 UTC m=+34.612798604 ,  3744045
2023-08-22 07:46:29.849768529 +0000 UTC m=+34.609254355 ,  2023-08-22 07:46:29.853334909 +0000 UTC m=+34.612820705 ,  3566200
2023-08-22 07:46:29.849727722 +0000 UTC m=+34.609213548 ,  2023-08-22 07:46:29.853333206 +0000 UTC m=+34.612819002 ,  3604362
2023-08-22 07:46:29.849889086 +0000 UTC m=+34.609374912 ,  2023-08-22 07:46:29.853343526 +0000 UTC m=+34.612829332 ,  3454359
2023-08-22 07:46:29.849882173 +0000 UTC m=+34.609367999 ,  2023-08-22 07:46:29.853347523 +0000 UTC m=+34.612833319 ,  3465170
2023-08-22 07:46:29.849895919 +0000 UTC m=+34.609381765 ,  2023-08-22 07:46:29.85335124 +0000 UTC m=+34.612837036 ,  3455221
2023-08-22 07:46:29.849891471 +0000 UTC m=+34.609377287 ,  2023-08-22 07:46:29.853353184 +0000 UTC m=+34.612838980 ,  3461643
2023-08-22 07:46:29.849922178 +0000 UTC m=+34.609408005 ,  2023-08-22 07:46:29.853357993 +0000 UTC m=+34.612843789 ,  3435734
2023-08-22 07:46:29.84939248 +0000 UTC m=+34.608878296 ,  2023-08-22 07:46:29.853259297 +0000 UTC m=+34.612745093 ,  3866737
2023-08-22 07:46:29.849946074 +0000 UTC m=+34.609431900 ,  2023-08-22 07:46:29.853358794 +0000 UTC m=+34.612844600 ,  3412650
2023-08-22 07:46:29.850106756 +0000 UTC m=+34.609592612 ,  2023-08-22 07:46:29.853367841 +0000 UTC m=+34.612853637 ,  3260985
2023-08-22 07:46:29.850084164 +0000 UTC m=+34.609570050 ,  2023-08-22 07:46:29.853368032 +0000 UTC m=+34.612853828 ,  3283658
2023-08-22 07:46:29.850163684 +0000 UTC m=+34.609649510 ,  2023-08-22 07:46:29.853376798 +0000 UTC m=+34.612862594 ,  3213034
2023-08-22 07:46:29.85013535 +0000 UTC m=+34.609621216 ,  2023-08-22 07:46:29.853377189 +0000 UTC m=+34.612862985 ,  3241719
2023-08-22 07:46:29.850255146 +0000 UTC m=+34.609741002 ,  2023-08-22 07:46:29.853381467 +0000 UTC m=+34.612867263 ,  3126201
2023-08-22 07:46:29.850185204 +0000 UTC m=+34.609671040 ,  2023-08-22 07:46:29.853382479 +0000 UTC m=+34.612868275 ,  3197085
2023-08-22 07:46:29.850220851 +0000 UTC m=+34.609706677 ,  2023-08-22 07:46:29.853387679 +0000 UTC m=+34.612873475 ,  3166678
2023-08-22 07:46:29.85018823 +0000 UTC m=+34.609674056 ,  2023-08-22 07:46:29.853387999 +0000 UTC m=+34.612873795 ,  3199689
2023-08-22 07:46:29.850226081 +0000 UTC m=+34.609711917 ,  2023-08-22 07:46:29.853392678 +0000 UTC m=+34.612878474 ,  3166507
2023-08-22 07:46:29.850239577 +0000 UTC m=+34.609725433 ,  2023-08-22 07:46:29.853392458 +0000 UTC m=+34.612878254 ,  3152771
2023-08-22 07:46:29.850487834 +0000 UTC m=+34.609973670 ,  2023-08-22 07:46:29.853397437 +0000 UTC m=+34.612883233 ,  2909513
2023-08-22 07:46:29.849395857 +0000 UTC m=+34.608881723 ,  2023-08-22 07:46:29.853259758 +0000 UTC m=+34.612745564 ,  3863690
2023-08-22 07:46:29.850490429 +0000 UTC m=+34.609976255 ,  2023-08-22 07:46:29.853401886 +0000 UTC m=+34.612887682 ,  2911386
2023-08-22 07:46:29.850479138 +0000 UTC m=+34.609964964 ,  2023-08-22 07:46:29.853397948 +0000 UTC m=+34.612883744 ,  2918650
2023-08-22 07:46:29.850547457 +0000 UTC m=+34.610033353 ,  2023-08-22 07:46:29.855978972 +0000 UTC m=+34.615464768 ,  5431324
2023-08-22 07:46:29.850536115 +0000 UTC m=+34.610021961 ,  2023-08-22 07:46:29.855987267 +0000 UTC m=+34.615473063 ,  5450802
2023-08-22 07:46:29.851513517 +0000 UTC m=+34.610999313 ,  2023-08-22 07:46:29.856020871 +0000 UTC m=+34.615506667 ,  4507243
2023-08-22 07:46:29.8516105 +0000 UTC m=+34.611096296 ,  2023-08-22 07:46:29.85604716 +0000 UTC m=+34.615532956 ,  4436610
2023-08-22 07:46:29.850614343 +0000 UTC m=+34.610100149 ,  2023-08-22 07:46:29.856028224 +0000 UTC m=+34.615514030 ,  5413821
2023-08-22 07:46:29.85156789 +0000 UTC m=+34.611053696 ,  2023-08-22 07:46:29.856059463 +0000 UTC m=+34.615545269 ,  4491453
2023-08-22 07:46:29.8516052 +0000 UTC m=+34.611090996 ,  2023-08-22 07:46:29.856045066 +0000 UTC m=+34.615530862 ,  4439816
2023-08-22 07:46:29.882142892 +0000 UTC m=+34.641628718 ,  2023-08-22 07:46:29.885480371 +0000 UTC m=+34.644966167 ,  3337389
2023-08-22 07:46:29.882172718 +0000 UTC m=+34.641658544 ,  2023-08-22 07:46:29.885526458 +0000 UTC m=+34.645012264 ,  3353550
2023-08-22 07:46:29.882159103 +0000 UTC m=+34.641644909 ,  2023-08-22 07:46:29.885575069 +0000 UTC m=+34.645060865 ,  3415896
2023-08-22 07:46:29.882311119 +0000 UTC m=+34.641796935 ,  2023-08-22 07:46:29.885631816 +0000 UTC m=+34.645117612 ,  3320617
2023-08-22 07:46:29.882422549 +0000 UTC m=+34.641908365 ,  2023-08-22 07:46:29.885657304 +0000 UTC m=+34.645143100 ,  3234685
2023-08-22 07:46:29.882378035 +0000 UTC m=+34.641863861 ,  2023-08-22 07:46:29.885668796 +0000 UTC m=+34.645154602 ,  3290651
2023-08-22 07:46:29.882779021 +0000 UTC m=+34.642264817 ,  2023-08-22 07:46:29.885683975 +0000 UTC m=+34.645169781 ,  2904894
2023-08-22 07:46:29.882206342 +0000 UTC m=+34.641692178 ,  2023-08-22 07:46:29.885589296 +0000 UTC m=+34.645075092 ,  3382834
2023-08-22 07:46:29.882244904 +0000 UTC m=+34.641730730 ,  2023-08-22 07:46:29.885619303 +0000 UTC m=+34.645105099 ,  3374319
2023-08-22 07:46:29.882776266 +0000 UTC m=+34.642262092 ,  2023-08-22 07:46:29.885715093 +0000 UTC m=+34.645200889 ,  2938747
2023-08-22 07:46:29.882293356 +0000 UTC m=+34.641779182 ,  2023-08-22 07:46:29.88563383 +0000 UTC m=+34.645119626 ,  3340394
2023-08-22 07:46:29.88279479 +0000 UTC m=+34.642280617 ,  2023-08-22 07:46:29.885742946 +0000 UTC m=+34.645228752 ,  2948075
2023-08-22 07:46:29.882209979 +0000 UTC m=+34.641695795 ,  2023-08-22 07:46:29.885614814 +0000 UTC m=+34.645100620 ,  3404765
2023-08-22 07:46:29.882185312 +0000 UTC m=+34.641671118 ,  2023-08-22 07:46:29.885587783 +0000 UTC m=+34.645073589 ,  3402411
2023-08-22 07:46:29.882852509 +0000 UTC m=+34.642338335 ,  2023-08-22 07:46:29.885769676 +0000 UTC m=+34.645255472 ,  2917087
2023-08-22 07:46:29.882050358 +0000 UTC m=+34.641536154 ,  2023-08-22 07:46:29.88549065 +0000 UTC m=+34.644976456 ,  3440142
2023-08-22 07:46:29.882893106 +0000 UTC m=+34.642378932 ,  2023-08-22 07:46:29.885797849 +0000 UTC m=+34.645283645 ,  2904663
2023-08-22 07:46:29.882842621 +0000 UTC m=+34.642328447 ,  2023-08-22 07:46:29.885804802 +0000 UTC m=+34.645290598 ,  2962091
2023-08-22 07:46:29.882804318 +0000 UTC m=+34.642290145 ,  2023-08-22 07:46:29.885759537 +0000 UTC m=+34.645245343 ,  2955148
