3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  0
3  sending request vote to the follower  1
3  sending request vote to the follower  2
Commit quorum changed successfully!, time:  1692655019504322798  commit quorum:  [4]
2023-08-21 21:57:10.862441391 +0000 UTC m=+26.541339872 ,  2023-08-21 21:57:10.867642681 +0000 UTC m=+26.546541122 ,  5201180
2023-08-21 21:57:10.896710289 +0000 UTC m=+26.575608790 ,  2023-08-21 21:57:10.899609882 +0000 UTC m=+26.578508333 ,  2899473
2023-08-21 21:57:11.193853027 +0000 UTC m=+26.872751498 ,  2023-08-21 21:57:11.198887933 +0000 UTC m=+26.877786404 ,  5034776
2023-08-21 21:57:11.227979396 +0000 UTC m=+26.906877847 ,  2023-08-21 21:57:11.230716783 +0000 UTC m=+26.909615254 ,  2737277
2023-08-21 21:57:11.525424042 +0000 UTC m=+27.204322513 ,  2023-08-21 21:57:11.529964558 +0000 UTC m=+27.208862999 ,  4540405
2023-08-21 21:57:11.559184221 +0000 UTC m=+27.238082712 ,  2023-08-21 21:57:11.562125042 +0000 UTC m=+27.241023513 ,  2940671
2023-08-21 21:57:11.856867678 +0000 UTC m=+27.535766149 ,  2023-08-21 21:57:11.861020814 +0000 UTC m=+27.539919275 ,  4152995
2023-08-21 21:57:11.89017277 +0000 UTC m=+27.569071251 ,  2023-08-21 21:57:11.893135242 +0000 UTC m=+27.572033683 ,  2962371
2023-08-21 21:57:12.187721683 +0000 UTC m=+27.866620154 ,  2023-08-21 21:57:12.192369059 +0000 UTC m=+27.871267530 ,  4647236
2023-08-21 21:57:12.221412581 +0000 UTC m=+27.900311022 ,  2023-08-21 21:57:12.224274082 +0000 UTC m=+27.903172533 ,  2861441
2023-08-21 21:57:12.519025635 +0000 UTC m=+28.197924107 ,  2023-08-21 21:57:12.523033627 +0000 UTC m=+28.201932098 ,  4007801
2023-08-21 21:57:12.552391942 +0000 UTC m=+28.231290413 ,  2023-08-21 21:57:12.555233937 +0000 UTC m=+28.234132388 ,  2841905
2023-08-21 21:57:12.849881824 +0000 UTC m=+28.528780295 ,  2023-08-21 21:57:12.854011625 +0000 UTC m=+28.532910116 ,  4129661
2023-08-21 21:57:12.883215319 +0000 UTC m=+28.562113800 ,  2023-08-21 21:57:12.888835788 +0000 UTC m=+28.567734239 ,  5620309
2023-08-21 21:57:13.183648296 +0000 UTC m=+28.862546767 ,  2023-08-21 21:57:13.185546332 +0000 UTC m=+28.864444773 ,  1897936
2023-08-21 21:57:13.214727694 +0000 UTC m=+28.893626166 ,  2023-08-21 21:57:13.217650261 +0000 UTC m=+28.896548712 ,  2922466
2023-08-21 21:57:13.512438001 +0000 UTC m=+29.191336493 ,  2023-08-21 21:57:13.51738357 +0000 UTC m=+29.196282011 ,  4945458
2023-08-21 21:57:13.546716147 +0000 UTC m=+29.225614628 ,  2023-08-21 21:57:13.549642591 +0000 UTC m=+29.228541032 ,  2926344
2023-08-21 21:57:13.843916422 +0000 UTC m=+29.522814883 ,  2023-08-21 21:57:13.849319482 +0000 UTC m=+29.528217933 ,  5402980
2023-08-21 21:57:13.878457512 +0000 UTC m=+29.557355983 ,  2023-08-21 21:57:13.881321538 +0000 UTC m=+29.560220009 ,  2863896
2023-08-21 21:57:14.175601171 +0000 UTC m=+29.854499632 ,  2023-08-21 21:57:14.18049922 +0000 UTC m=+29.859397691 ,  4897909
2023-08-21 21:57:14.209596663 +0000 UTC m=+29.888495154 ,  2023-08-21 21:57:14.212424712 +0000 UTC m=+29.891323183 ,  2827888
2023-08-21 21:57:14.507479975 +0000 UTC m=+30.186378446 ,  2023-08-21 21:57:14.511513365 +0000 UTC m=+30.190411806 ,  4033289
2023-08-21 21:57:14.540650172 +0000 UTC m=+30.219548664 ,  2023-08-21 21:57:14.543429429 +0000 UTC m=+30.222327900 ,  2779075
2023-08-21 21:57:14.837899721 +0000 UTC m=+30.516798192 ,  2023-08-21 21:57:14.844093591 +0000 UTC m=+30.522992042 ,  6193780
2023-08-21 21:57:14.873275073 +0000 UTC m=+30.552173554 ,  2023-08-21 21:57:14.876354575 +0000 UTC m=+30.555253016 ,  3079402
2023-08-21 21:57:15.170755597 +0000 UTC m=+30.849654088 ,  2023-08-21 21:57:15.175775836 +0000 UTC m=+30.854674277 ,  5020129
2023-08-21 21:57:15.204945856 +0000 UTC m=+30.883844337 ,  2023-08-21 21:57:15.207811636 +0000 UTC m=+30.886710077 ,  2865680
2023-08-21 21:57:15.502229839 +0000 UTC m=+31.181128300 ,  2023-08-21 21:57:15.507159006 +0000 UTC m=+31.186057477 ,  4929047
2023-08-21 21:57:15.53633086 +0000 UTC m=+31.215229351 ,  2023-08-21 21:57:15.539089868 +0000 UTC m=+31.217988309 ,  2758898
2023-08-21 21:57:15.833489828 +0000 UTC m=+31.512388279 ,  2023-08-21 21:57:15.838648949 +0000 UTC m=+31.517547390 ,  5159041
2023-08-21 21:57:15.867780036 +0000 UTC m=+31.546678487 ,  2023-08-21 21:57:15.871077519 +0000 UTC m=+31.549975970 ,  3297413
2023-08-21 21:57:16.165947184 +0000 UTC m=+31.844845655 ,  2023-08-21 21:57:16.169839287 +0000 UTC m=+31.848737738 ,  3892013
2023-08-21 21:57:16.198865217 +0000 UTC m=+31.877763698 ,  2023-08-21 21:57:16.201948916 +0000 UTC m=+31.880847377 ,  3083549
2023-08-21 21:57:16.496560804 +0000 UTC m=+32.175459275 ,  2023-08-21 21:57:16.502374137 +0000 UTC m=+32.181272578 ,  5813233
2023-08-21 21:57:16.531600583 +0000 UTC m=+32.210499055 ,  2023-08-21 21:57:16.534444141 +0000 UTC m=+32.213342582 ,  2843467
2023-08-21 21:57:16.828803494 +0000 UTC m=+32.507701955 ,  2023-08-21 21:57:16.832821575 +0000 UTC m=+32.511720046 ,  4017950
2023-08-21 21:57:16.86193038 +0000 UTC m=+32.540828871 ,  2023-08-21 21:57:16.867271563 +0000 UTC m=+32.546170034 ,  5341023
2023-08-21 21:57:17.162002306 +0000 UTC m=+32.840900747 ,  2023-08-21 21:57:17.173515799 +0000 UTC m=+32.852414250 ,  11513433
2023-08-21 21:57:17.202656945 +0000 UTC m=+32.881555406 ,  2023-08-21 21:57:17.204742835 +0000 UTC m=+32.883641276 ,  2085810
2023-08-21 21:57:17.499419616 +0000 UTC m=+33.178318087 ,  2023-08-21 21:57:17.50525442 +0000 UTC m=+33.184152861 ,  5834703
2023-08-21 21:57:17.534381539 +0000 UTC m=+33.213280020 ,  2023-08-21 21:57:17.537225607 +0000 UTC m=+33.216124048 ,  2843958
2023-08-21 21:57:17.831588217 +0000 UTC m=+33.510486678 ,  2023-08-21 21:57:17.834651598 +0000 UTC m=+33.513550069 ,  3063251
2023-08-21 21:57:17.8637641 +0000 UTC m=+33.542662571 ,  2023-08-21 21:57:17.866615603 +0000 UTC m=+33.545514044 ,  2851412
2023-08-21 21:57:18.160996216 +0000 UTC m=+33.839894687 ,  2023-08-21 21:57:18.165682696 +0000 UTC m=+33.844581137 ,  4686380
2023-08-21 21:57:18.194829072 +0000 UTC m=+33.873727553 ,  2023-08-21 21:57:18.197712555 +0000 UTC m=+33.876610996 ,  2883383
2023-08-21 21:57:18.492601375 +0000 UTC m=+34.171499846 ,  2023-08-21 21:57:18.497312602 +0000 UTC m=+34.176211073 ,  4711087
2023-08-21 21:57:18.526468826 +0000 UTC m=+34.205367307 ,  2023-08-21 21:57:18.529312955 +0000 UTC m=+34.208211406 ,  2844029
2023-08-21 21:57:18.823809898 +0000 UTC m=+34.502708359 ,  2023-08-21 21:57:18.828813315 +0000 UTC m=+34.507711766 ,  5003326
2023-08-21 21:57:18.857983475 +0000 UTC m=+34.536881957 ,  2023-08-21 21:57:18.861012492 +0000 UTC m=+34.539910964 ,  3028876
2023-08-21 21:57:19.15602183 +0000 UTC m=+34.834920291 ,  2023-08-21 21:57:19.162801545 +0000 UTC m=+34.841699986 ,  6779304
2023-08-21 21:57:19.192059331 +0000 UTC m=+34.870957792 ,  2023-08-21 21:57:19.194163014 +0000 UTC m=+34.873061455 ,  2103613
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 30872806.428381 1:Id: 1, EWMA: 30845405.700265 2:Id: 2, EWMA: 30883567.196474 4:Id: 4, EWMA: 527739.435117]
2023-08-21 21:57:19.488610724 +0000 UTC m=+35.167509185 ,  2023-08-21 21:57:19.493525374 +0000 UTC m=+35.172423815 ,  4914560
2023-08-21 21:57:19.522674915 +0000 UTC m=+35.201573377 ,  2023-08-21 21:57:19.524636231 +0000 UTC m=+35.203534672 ,  1960944
2023-08-21 21:57:19.823636638 +0000 UTC m=+35.502535109 ,  2023-08-21 21:57:19.825790175 +0000 UTC m=+35.504688646 ,  2153387
2023-08-21 21:57:19.855093306 +0000 UTC m=+35.533991777 ,  2023-08-21 21:57:19.856891484 +0000 UTC m=+35.535789935 ,  1798088
2023-08-21 21:57:20.151877438 +0000 UTC m=+35.830775909 ,  2023-08-21 21:57:20.157079469 +0000 UTC m=+35.835977930 ,  5201891
2023-08-21 21:57:20.186315153 +0000 UTC m=+35.865213654 ,  2023-08-21 21:57:20.189271233 +0000 UTC m=+35.868169704 ,  2955910
2023-08-21 21:57:20.484158741 +0000 UTC m=+36.163057222 ,  2023-08-21 21:57:20.488151203 +0000 UTC m=+36.167049674 ,  3992322
2023-08-21 21:57:20.517336843 +0000 UTC m=+36.196235324 ,  2023-08-21 21:57:20.519033329 +0000 UTC m=+36.197931770 ,  1696376
2023-08-21 21:57:20.813843342 +0000 UTC m=+36.492741813 ,  2023-08-21 21:57:20.817713644 +0000 UTC m=+36.496612115 ,  3870162
2023-08-21 21:57:20.846946623 +0000 UTC m=+36.525845094 ,  2023-08-21 21:57:20.849010201 +0000 UTC m=+36.527908642 ,  2063478
2023-08-21 21:57:21.143649281 +0000 UTC m=+36.822547742 ,  2023-08-21 21:57:21.148550897 +0000 UTC m=+36.827449368 ,  4901495
2023-08-21 21:57:21.1776483 +0000 UTC m=+36.856546781 ,  2023-08-21 21:57:21.18066813 +0000 UTC m=+36.859566571 ,  3019719
2023-08-21 21:57:21.210317854 +0000 UTC m=+36.889216345 ,  2023-08-21 21:57:21.215047215 +0000 UTC m=+36.893945656 ,  4728920
2023-08-21 21:57:21.210348872 +0000 UTC m=+36.889247343 ,  2023-08-21 21:57:21.215084284 +0000 UTC m=+36.893982725 ,  4735052
2023-08-21 21:57:21.210201534 +0000 UTC m=+36.889100005 ,  2023-08-21 21:57:21.215059007 +0000 UTC m=+36.893957448 ,  4857062
2023-08-21 21:57:21.210389098 +0000 UTC m=+36.889287569 ,  2023-08-21 21:57:21.215111806 +0000 UTC m=+36.894010257 ,  4722498
2023-08-21 21:57:21.210377396 +0000 UTC m=+36.889275877 ,  2023-08-21 21:57:21.215107849 +0000 UTC m=+36.894006300 ,  4729842
2023-08-21 21:57:21.210395079 +0000 UTC m=+36.889293550 ,  2023-08-21 21:57:21.215142304 +0000 UTC m=+36.894040755 ,  4747145
2023-08-21 21:57:21.21039547 +0000 UTC m=+36.889293951 ,  2023-08-21 21:57:21.215147063 +0000 UTC m=+36.894045514 ,  4751162
2023-08-21 21:57:21.210350736 +0000 UTC m=+36.889249267 ,  2023-08-21 21:57:21.215077171 +0000 UTC m=+36.893975612 ,  4726215
2023-08-21 21:57:21.210748876 +0000 UTC m=+36.889647387 ,  2023-08-21 21:57:21.225759598 +0000 UTC m=+36.904658039 ,  15010602
2023-08-21 21:57:21.212270763 +0000 UTC m=+36.891169204 ,  2023-08-21 21:57:21.225932584 +0000 UTC m=+36.904831045 ,  13661741
2023-08-21 21:57:21.212232361 +0000 UTC m=+36.891130802 ,  2023-08-21 21:57:21.225955127 +0000 UTC m=+36.904853588 ,  13722685
2023-08-21 21:57:21.212050037 +0000 UTC m=+36.890948478 ,  2023-08-21 21:57:21.225787932 +0000 UTC m=+36.904686373 ,  13737844
2023-08-21 21:57:21.212051039 +0000 UTC m=+36.890949480 ,  2023-08-21 21:57:21.22579236 +0000 UTC m=+36.904690801 ,  13741271
2023-08-21 21:57:21.211978182 +0000 UTC m=+36.890876623 ,  2023-08-21 21:57:21.225790967 +0000 UTC m=+36.904689418 ,  13812415
2023-08-21 21:57:21.212082348 +0000 UTC m=+36.890980819 ,  2023-08-21 21:57:21.225801537 +0000 UTC m=+36.904699988 ,  13719119
2023-08-21 21:57:21.211989052 +0000 UTC m=+36.890887503 ,  2023-08-21 21:57:21.225803381 +0000 UTC m=+36.904701842 ,  13814239
2023-08-21 21:57:21.212037554 +0000 UTC m=+36.890935995 ,  2023-08-21 21:57:21.225825142 +0000 UTC m=+36.904723603 ,  13787508
2023-08-21 21:57:21.212039287 +0000 UTC m=+36.890937738 ,  2023-08-21 21:57:21.225835281 +0000 UTC m=+36.904733742 ,  13795904
2023-08-21 21:57:21.212135909 +0000 UTC m=+36.891034350 ,  2023-08-21 21:57:21.22584569 +0000 UTC m=+36.904744151 ,  13709701
2023-08-21 21:57:21.212044467 +0000 UTC m=+36.890942908 ,  2023-08-21 21:57:21.225851822 +0000 UTC m=+36.904750283 ,  13807285
2023-08-21 21:57:21.212136059 +0000 UTC m=+36.891034500 ,  2023-08-21 21:57:21.225894683 +0000 UTC m=+36.904793124 ,  13758574
2023-08-21 21:57:21.212183008 +0000 UTC m=+36.891081449 ,  2023-08-21 21:57:21.225888962 +0000 UTC m=+36.904787433 ,  13705703
2023-08-21 21:57:21.2122637 +0000 UTC m=+36.891162141 ,  2023-08-21 21:57:21.225913097 +0000 UTC m=+36.904811558 ,  13649327
2023-08-21 21:57:21.212259863 +0000 UTC m=+36.891158304 ,  2023-08-21 21:57:21.225916333 +0000 UTC m=+36.904814774 ,  13656130
2023-08-21 21:57:21.212227933 +0000 UTC m=+36.891126384 ,  2023-08-21 21:57:21.225933736 +0000 UTC m=+36.904832197 ,  13705713
2023-08-21 21:57:21.212185412 +0000 UTC m=+36.891083863 ,  2023-08-21 21:57:21.225957581 +0000 UTC m=+36.904856022 ,  13772109
2023-08-21 21:57:21.210778071 +0000 UTC m=+36.889676582 ,  2023-08-21 21:57:21.225762934 +0000 UTC m=+36.904661375 ,  14984723
2023-08-21 21:57:21.212330786 +0000 UTC m=+36.891229227 ,  2023-08-21 21:57:21.225977188 +0000 UTC m=+36.904875649 ,  13646242
2023-08-21 21:57:21.212217102 +0000 UTC m=+36.891115543 ,  2023-08-21 21:57:21.225978 +0000 UTC m=+36.904876441 ,  13760848
2023-08-21 21:57:21.212202525 +0000 UTC m=+36.891100966 ,  2023-08-21 21:57:21.225991866 +0000 UTC m=+36.904890337 ,  13789271
2023-08-21 21:57:21.212320196 +0000 UTC m=+36.891218647 ,  2023-08-21 21:57:21.22599432 +0000 UTC m=+36.904892771 ,  13674054
2023-08-21 21:57:21.210794061 +0000 UTC m=+36.889692582 ,  2023-08-21 21:57:21.225777231 +0000 UTC m=+36.904675672 ,  14983040
2023-08-21 21:57:21.212357617 +0000 UTC m=+36.891256058 ,  2023-08-21 21:57:21.226007225 +0000 UTC m=+36.904905696 ,  13649538
2023-08-21 21:57:21.212359621 +0000 UTC m=+36.891258072 ,  2023-08-21 21:57:21.226018135 +0000 UTC m=+36.904916596 ,  13658434
2023-08-21 21:57:21.212370291 +0000 UTC m=+36.891268732 ,  2023-08-21 21:57:21.226019798 +0000 UTC m=+36.904918259 ,  13649427
2023-08-21 21:57:21.212243291 +0000 UTC m=+36.891141732 ,  2023-08-21 21:57:21.22603657 +0000 UTC m=+36.904935031 ,  13793209
2023-08-21 21:57:21.212245806 +0000 UTC m=+36.891144267 ,  2023-08-21 21:57:21.226043172 +0000 UTC m=+36.904941634 ,  13797266
2023-08-21 21:57:21.212107916 +0000 UTC m=+36.891006387 ,  2023-08-21 21:57:21.226054434 +0000 UTC m=+36.904952895 ,  13946418
2023-08-21 21:57:21.212407972 +0000 UTC m=+36.891306423 ,  2023-08-21 21:57:21.226061777 +0000 UTC m=+36.904960219 ,  13653745
2023-08-21 21:57:21.212217633 +0000 UTC m=+36.891116074 ,  2023-08-21 21:57:21.226006293 +0000 UTC m=+36.904904744 ,  13788620
2023-08-21 21:57:21.244154186 +0000 UTC m=+36.923052627 ,  2023-08-21 21:57:21.247719423 +0000 UTC m=+36.926617874 ,  3565167
2023-08-21 21:57:21.244462647 +0000 UTC m=+36.923361088 ,  2023-08-21 21:57:21.247750362 +0000 UTC m=+36.926648803 ,  3287604
2023-08-21 21:57:21.244480761 +0000 UTC m=+36.923379212 ,  2023-08-21 21:57:21.247780609 +0000 UTC m=+36.926679080 ,  3299747
2023-08-21 21:57:21.244686889 +0000 UTC m=+36.923585341 ,  2023-08-21 21:57:21.247819462 +0000 UTC m=+36.926717923 ,  3132121
2023-08-21 21:57:21.244524544 +0000 UTC m=+36.923422985 ,  2023-08-21 21:57:21.247782502 +0000 UTC m=+36.926680953 ,  3257898
2023-08-21 21:57:21.244217285 +0000 UTC m=+36.923115746 ,  2023-08-21 21:57:21.247753457 +0000 UTC m=+36.926651919 ,  3535982
2023-08-21 21:57:21.244752082 +0000 UTC m=+36.923650533 ,  2023-08-21 21:57:21.247798192 +0000 UTC m=+36.926696643 ,  3046030
2023-08-21 21:57:21.244103039 +0000 UTC m=+36.923001500 ,  2023-08-21 21:57:21.247722609 +0000 UTC m=+36.926621070 ,  3619390
2023-08-21 21:57:21.254768995 +0000 UTC m=+36.933667467 ,  2023-08-21 21:57:21.258615804 +0000 UTC m=+36.937514245 ,  3846718
2023-08-21 21:57:21.255082145 +0000 UTC m=+36.933980607 ,  2023-08-21 21:57:21.25864588 +0000 UTC m=+36.937544331 ,  3563534
2023-08-21 21:57:21.255367814 +0000 UTC m=+36.934266285 ,  2023-08-21 21:57:21.25868807 +0000 UTC m=+36.937586511 ,  3319825
2023-08-21 21:57:21.255550658 +0000 UTC m=+36.934449129 ,  2023-08-21 21:57:21.258719118 +0000 UTC m=+36.937617589 ,  3168360
2023-08-21 21:57:21.255601073 +0000 UTC m=+36.934499534 ,  2023-08-21 21:57:21.258770305 +0000 UTC m=+36.937668756 ,  3169152
2023-08-21 21:57:21.255301519 +0000 UTC m=+36.934199980 ,  2023-08-21 21:57:21.258664325 +0000 UTC m=+36.937562766 ,  3362736
2023-08-21 21:57:21.255925805 +0000 UTC m=+36.934824276 ,  2023-08-21 21:57:21.258845677 +0000 UTC m=+36.937744128 ,  2919772
2023-08-21 21:57:21.255947756 +0000 UTC m=+36.934846198 ,  2023-08-21 21:57:21.258872137 +0000 UTC m=+36.937770588 ,  2924330
2023-08-21 21:57:21.255988483 +0000 UTC m=+36.934886924 ,  2023-08-21 21:57:21.258888297 +0000 UTC m=+36.937786738 ,  2899764
2023-08-21 21:57:21.256049568 +0000 UTC m=+36.934948009 ,  2023-08-21 21:57:21.25891102 +0000 UTC m=+36.937809471 ,  2861081
2023-08-21 21:57:21.255208804 +0000 UTC m=+36.934107255 ,  2023-08-21 21:57:21.258639679 +0000 UTC m=+36.937538120 ,  3430764
2023-08-21 21:57:21.256097679 +0000 UTC m=+36.934996120 ,  2023-08-21 21:57:21.258929094 +0000 UTC m=+36.937827535 ,  2831355
2023-08-21 21:57:21.255474034 +0000 UTC m=+36.934372505 ,  2023-08-21 21:57:21.258746981 +0000 UTC m=+36.937645422 ,  3272867
2023-08-21 21:57:21.255568873 +0000 UTC m=+36.934467344 ,  2023-08-21 21:57:21.258777749 +0000 UTC m=+36.937676200 ,  3208786
2023-08-21 21:57:21.255246836 +0000 UTC m=+36.934145307 ,  2023-08-21 21:57:21.258669254 +0000 UTC m=+36.937567695 ,  3422338
2023-08-21 21:57:21.255626702 +0000 UTC m=+36.934525173 ,  2023-08-21 21:57:21.25880492 +0000 UTC m=+36.937703371 ,  3178128
2023-08-21 21:57:21.25563107 +0000 UTC m=+36.934529541 ,  2023-08-21 21:57:21.258822433 +0000 UTC m=+36.937720874 ,  3191273
2023-08-21 21:57:21.255644555 +0000 UTC m=+36.934543016 ,  2023-08-21 21:57:21.258824857 +0000 UTC m=+36.937723309 ,  3180212
2023-08-21 21:57:21.255663922 +0000 UTC m=+36.934562403 ,  2023-08-21 21:57:21.258857198 +0000 UTC m=+36.937755649 ,  3193146
2023-08-21 21:57:21.255226848 +0000 UTC m=+36.934125319 ,  2023-08-21 21:57:21.258662862 +0000 UTC m=+36.937561313 ,  3435543
2023-08-21 21:57:21.255977192 +0000 UTC m=+36.934875663 ,  2023-08-21 21:57:21.258876004 +0000 UTC m=+36.937774455 ,  2898742
2023-08-21 21:57:21.254756131 +0000 UTC m=+36.933654582 ,  2023-08-21 21:57:21.258620312 +0000 UTC m=+36.937518763 ,  3863790
2023-08-21 21:57:21.256009813 +0000 UTC m=+36.934908254 ,  2023-08-21 21:57:21.258892665 +0000 UTC m=+36.937791126 ,  2882482
2023-08-21 21:57:21.255338959 +0000 UTC m=+36.934237420 ,  2023-08-21 21:57:21.258689102 +0000 UTC m=+36.937587573 ,  3349762
2023-08-21 21:57:21.256054197 +0000 UTC m=+36.934952658 ,  2023-08-21 21:57:21.258912543 +0000 UTC m=+36.937810994 ,  2858175
2023-08-21 21:57:21.256142303 +0000 UTC m=+36.935040774 ,  2023-08-21 21:57:21.258923453 +0000 UTC m=+36.937821904 ,  2781070
2023-08-21 21:57:21.255227179 +0000 UTC m=+36.934125640 ,  2023-08-21 21:57:21.258654066 +0000 UTC m=+36.937552507 ,  3426817
2023-08-21 21:57:21.256195684 +0000 UTC m=+36.935094125 ,  2023-08-21 21:57:21.25894308 +0000 UTC m=+36.937841531 ,  2747346
2023-08-21 21:57:21.256302054 +0000 UTC m=+36.935200495 ,  2023-08-21 21:57:21.258945695 +0000 UTC m=+36.937844156 ,  2643581
2023-08-21 21:57:21.25633699 +0000 UTC m=+36.935235431 ,  2023-08-21 21:57:21.258962136 +0000 UTC m=+36.937860587 ,  2625086
2023-08-21 21:57:21.256311792 +0000 UTC m=+36.935210233 ,  2023-08-21 21:57:21.258966655 +0000 UTC m=+36.937865106 ,  2654813
2023-08-21 21:57:21.255610361 +0000 UTC m=+36.934508842 ,  2023-08-21 21:57:21.258815059 +0000 UTC m=+36.937713510 ,  3204588
2023-08-21 21:57:21.276709695 +0000 UTC m=+36.955608176 ,  2023-08-21 21:57:21.279955681 +0000 UTC m=+36.958854132 ,  3245896
2023-08-21 21:57:21.276727318 +0000 UTC m=+36.955625799 ,  2023-08-21 21:57:21.280006336 +0000 UTC m=+36.958904777 ,  3278888
2023-08-21 21:57:21.276721156 +0000 UTC m=+36.955619627 ,  2023-08-21 21:57:21.280032546 +0000 UTC m=+36.958931037 ,  3310999
2023-08-21 21:57:21.276811607 +0000 UTC m=+36.955710088 ,  2023-08-21 21:57:21.280096516 +0000 UTC m=+36.958994967 ,  3284829
2023-08-21 21:57:21.276750431 +0000 UTC m=+36.955648913 ,  2023-08-21 21:57:21.280079644 +0000 UTC m=+36.958978095 ,  3329122
2023-08-21 21:57:21.276735874 +0000 UTC m=+36.955634345 ,  2023-08-21 21:57:21.280086948 +0000 UTC m=+36.958985389 ,  3350984
2023-08-21 21:57:21.27680259 +0000 UTC m=+36.955701061 ,  2023-08-21 21:57:21.280099792 +0000 UTC m=+36.958998233 ,  3297122
2023-08-21 21:57:21.276676602 +0000 UTC m=+36.955575083 ,  2023-08-21 21:57:21.279976079 +0000 UTC m=+36.958874550 ,  3299197
2023-08-21 21:57:21.288186048 +0000 UTC m=+36.967084519 ,  2023-08-21 21:57:21.291501244 +0000 UTC m=+36.970399685 ,  3314805
2023-08-21 21:57:21.288188192 +0000 UTC m=+36.967086643 ,  2023-08-21 21:57:21.291532293 +0000 UTC m=+36.970430734 ,  3343570
2023-08-21 21:57:21.288204883 +0000 UTC m=+36.967103354 ,  2023-08-21 21:57:21.291525179 +0000 UTC m=+36.970423630 ,  3320136
2023-08-21 21:57:21.28822954 +0000 UTC m=+36.967127991 ,  2023-08-21 21:57:21.291550166 +0000 UTC m=+36.970448607 ,  3320556
2023-08-21 21:57:21.288221915 +0000 UTC m=+36.967120386 ,  2023-08-21 21:57:21.291547471 +0000 UTC m=+36.970445912 ,  3325386
2023-08-21 21:57:21.288189073 +0000 UTC m=+36.967087514 ,  2023-08-21 21:57:21.291496345 +0000 UTC m=+36.970394796 ,  3306901
2023-08-21 21:57:21.288232255 +0000 UTC m=+36.967130716 ,  2023-08-21 21:57:21.291569322 +0000 UTC m=+36.970467763 ,  3336897
2023-08-21 21:57:21.288233938 +0000 UTC m=+36.967132409 ,  2023-08-21 21:57:21.291570825 +0000 UTC m=+36.970469276 ,  3336477
2023-08-21 21:57:21.288251952 +0000 UTC m=+36.967150403 ,  2023-08-21 21:57:21.291586244 +0000 UTC m=+36.970484735 ,  3334152
2023-08-21 21:57:21.288255408 +0000 UTC m=+36.967153879 ,  2023-08-21 21:57:21.291586515 +0000 UTC m=+36.970484966 ,  3331017
