3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692688295369219718  commit quorum:  [4]
2023-08-22 07:11:41.730682075 +0000 UTC m=+21.460631247 ,  2023-08-22 07:11:41.737541242 +0000 UTC m=+21.467490414 ,  6859017
2023-08-22 07:11:41.766770459 +0000 UTC m=+21.496719621 ,  2023-08-22 07:11:41.769475176 +0000 UTC m=+21.499424349 ,  2704587
2023-08-22 07:11:42.032428452 +0000 UTC m=+21.762377624 ,  2023-08-22 07:11:42.038376662 +0000 UTC m=+21.768325834 ,  5948070
2023-08-22 07:11:42.067776861 +0000 UTC m=+21.797726044 ,  2023-08-22 07:11:42.069491613 +0000 UTC m=+21.799440755 ,  1714641
2023-08-22 07:11:42.331891655 +0000 UTC m=+22.061840827 ,  2023-08-22 07:11:42.337658744 +0000 UTC m=+22.067607916 ,  5766959
2023-08-22 07:11:42.366778435 +0000 UTC m=+22.096727597 ,  2023-08-22 07:11:42.369654976 +0000 UTC m=+22.099604148 ,  2876411
2023-08-22 07:11:42.632241079 +0000 UTC m=+22.362190251 ,  2023-08-22 07:11:42.638942388 +0000 UTC m=+22.368891530 ,  6701219
2023-08-22 07:11:42.668107094 +0000 UTC m=+22.398056266 ,  2023-08-22 07:11:42.670996068 +0000 UTC m=+22.400945240 ,  2888844
2023-08-22 07:11:42.933589787 +0000 UTC m=+22.663538949 ,  2023-08-22 07:11:42.940470273 +0000 UTC m=+22.670419446 ,  6880356
2023-08-22 07:11:42.969565819 +0000 UTC m=+22.699514991 ,  2023-08-22 07:11:42.972388148 +0000 UTC m=+22.702337320 ,  2822178
2023-08-22 07:11:43.234864676 +0000 UTC m=+22.964813848 ,  2023-08-22 07:11:43.240892907 +0000 UTC m=+22.970842079 ,  6028071
2023-08-22 07:11:43.270138545 +0000 UTC m=+23.000087717 ,  2023-08-22 07:11:43.271841975 +0000 UTC m=+23.001791127 ,  1703340
2023-08-22 07:11:43.534331488 +0000 UTC m=+23.264280650 ,  2023-08-22 07:11:43.541287157 +0000 UTC m=+23.271236329 ,  6955539
2023-08-22 07:11:43.570513148 +0000 UTC m=+23.300462320 ,  2023-08-22 07:11:43.573399227 +0000 UTC m=+23.303348399 ,  2885949
2023-08-22 07:11:43.835689914 +0000 UTC m=+23.565639086 ,  2023-08-22 07:11:43.841566259 +0000 UTC m=+23.571515411 ,  5876255
2023-08-22 07:11:43.870720995 +0000 UTC m=+23.600670167 ,  2023-08-22 07:11:43.87353585 +0000 UTC m=+23.603485002 ,  2814765
2023-08-22 07:11:44.135807551 +0000 UTC m=+23.865756723 ,  2023-08-22 07:11:44.144459247 +0000 UTC m=+23.874408399 ,  8651606
2023-08-22 07:11:44.173560873 +0000 UTC m=+23.903510045 ,  2023-08-22 07:11:44.176462492 +0000 UTC m=+23.906411664 ,  2901489
2023-08-22 07:11:44.438762897 +0000 UTC m=+24.168712059 ,  2023-08-22 07:11:44.444348785 +0000 UTC m=+24.174297927 ,  5585808
2023-08-22 07:11:44.473471421 +0000 UTC m=+24.203420603 ,  2023-08-22 07:11:44.476298098 +0000 UTC m=+24.206247270 ,  2826537
2023-08-22 07:11:44.738909009 +0000 UTC m=+24.468858191 ,  2023-08-22 07:11:44.745931324 +0000 UTC m=+24.475880466 ,  7022204
2023-08-22 07:11:44.775110847 +0000 UTC m=+24.505060019 ,  2023-08-22 07:11:44.777959205 +0000 UTC m=+24.507908347 ,  2848268
2023-08-22 07:11:45.040661667 +0000 UTC m=+24.770610859 ,  2023-08-22 07:11:45.047655979 +0000 UTC m=+24.777605121 ,  6994192
2023-08-22 07:11:45.076771011 +0000 UTC m=+24.806720173 ,  2023-08-22 07:11:45.079836909 +0000 UTC m=+24.809786071 ,  3065768
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 32855650.954697 1:Id: 1, EWMA: 32841299.228235 2:Id: 2, EWMA: 16090059.923432 4:Id: 4, EWMA: 493370.458242]
2023-08-22 07:11:45.342680688 +0000 UTC m=+25.072629830 ,  2023-08-22 07:11:45.348679393 +0000 UTC m=+25.078628565 ,  5998605
2023-08-22 07:11:45.377747126 +0000 UTC m=+25.107696278 ,  2023-08-22 07:11:45.380444009 +0000 UTC m=+25.110393181 ,  2696763
2023-08-22 07:11:45.643158042 +0000 UTC m=+25.373107215 ,  2023-08-22 07:11:45.649043985 +0000 UTC m=+25.378993127 ,  5885832
2023-08-22 07:11:45.67816607 +0000 UTC m=+25.408115222 ,  2023-08-22 07:11:45.680932955 +0000 UTC m=+25.410882117 ,  2766765
2023-08-22 07:11:45.942953834 +0000 UTC m=+25.672902996 ,  2023-08-22 07:11:45.94973863 +0000 UTC m=+25.679687802 ,  6784666
2023-08-22 07:11:45.978985721 +0000 UTC m=+25.708934883 ,  2023-08-22 07:11:45.980704821 +0000 UTC m=+25.710653963 ,  1719020
2023-08-22 07:11:46.243285274 +0000 UTC m=+25.973234446 ,  2023-08-22 07:11:46.249389618 +0000 UTC m=+25.979338790 ,  6104204
2023-08-22 07:11:46.278709015 +0000 UTC m=+26.008658197 ,  2023-08-22 07:11:46.281472312 +0000 UTC m=+26.011421485 ,  2763157
2023-08-22 07:11:46.544335388 +0000 UTC m=+26.274284570 ,  2023-08-22 07:11:46.550361225 +0000 UTC m=+26.280310367 ,  6025736
2023-08-22 07:11:46.579439267 +0000 UTC m=+26.309388439 ,  2023-08-22 07:11:46.582479316 +0000 UTC m=+26.312428518 ,  3039919
2023-08-22 07:11:46.845656884 +0000 UTC m=+26.575606036 ,  2023-08-22 07:11:46.850593237 +0000 UTC m=+26.580542389 ,  4936283
2023-08-22 07:11:46.879805642 +0000 UTC m=+26.609754814 ,  2023-08-22 07:11:46.882671524 +0000 UTC m=+26.612620696 ,  2865741
2023-08-22 07:11:47.144969444 +0000 UTC m=+26.874918586 ,  2023-08-22 07:11:47.152006106 +0000 UTC m=+26.881955268 ,  7036542
2023-08-22 07:11:47.181416805 +0000 UTC m=+26.911365977 ,  2023-08-22 07:11:47.184441846 +0000 UTC m=+26.914390998 ,  3024951
2023-08-22 07:11:47.446903735 +0000 UTC m=+27.176852908 ,  2023-08-22 07:11:47.452957465 +0000 UTC m=+27.182906637 ,  6053589
2023-08-22 07:11:47.482073138 +0000 UTC m=+27.212022300 ,  2023-08-22 07:11:47.485010384 +0000 UTC m=+27.214959526 ,  2937155
2023-08-22 07:11:47.747653836 +0000 UTC m=+27.477603018 ,  2023-08-22 07:11:47.75417716 +0000 UTC m=+27.484126302 ,  6523224
2023-08-22 07:11:47.783191842 +0000 UTC m=+27.513141004 ,  2023-08-22 07:11:47.78563141 +0000 UTC m=+27.515580562 ,  2439478
2023-08-22 07:11:48.048436686 +0000 UTC m=+27.778385848 ,  2023-08-22 07:11:48.053533211 +0000 UTC m=+27.783482383 ,  5096395
2023-08-22 07:11:48.082732181 +0000 UTC m=+27.812681354 ,  2023-08-22 07:11:48.085521298 +0000 UTC m=+27.815470470 ,  2788986
2023-08-22 07:11:48.34803756 +0000 UTC m=+28.077986722 ,  2023-08-22 07:11:48.354989181 +0000 UTC m=+28.084938353 ,  6951471
2023-08-22 07:11:48.38418731 +0000 UTC m=+28.114136482 ,  2023-08-22 07:11:48.387102864 +0000 UTC m=+28.117052037 ,  2915414
2023-08-22 07:11:48.650154776 +0000 UTC m=+28.380103918 ,  2023-08-22 07:11:48.656214326 +0000 UTC m=+28.386163488 ,  6059440
2023-08-22 07:11:48.685410651 +0000 UTC m=+28.415359813 ,  2023-08-22 07:11:48.68836045 +0000 UTC m=+28.418309593 ,  2949709
2023-08-22 07:11:48.951096397 +0000 UTC m=+28.681045559 ,  2023-08-22 07:11:48.957179642 +0000 UTC m=+28.687128814 ,  6083115
2023-08-22 07:11:48.986390644 +0000 UTC m=+28.716339816 ,  2023-08-22 07:11:48.989325886 +0000 UTC m=+28.719275058 ,  2935112
2023-08-22 07:11:49.251702645 +0000 UTC m=+28.981651817 ,  2023-08-22 07:11:49.258494515 +0000 UTC m=+28.988443657 ,  6791780
2023-08-22 07:11:49.287633601 +0000 UTC m=+29.017582763 ,  2023-08-22 07:11:49.290451622 +0000 UTC m=+29.020400764 ,  2817931
2023-08-22 07:11:49.554252507 +0000 UTC m=+29.284201679 ,  2023-08-22 07:11:49.560312558 +0000 UTC m=+29.290261700 ,  6059670
2023-08-22 07:11:49.589771418 +0000 UTC m=+29.319720580 ,  2023-08-22 07:11:49.591719149 +0000 UTC m=+29.321668291 ,  1947630
2023-08-22 07:11:49.856488036 +0000 UTC m=+29.586437209 ,  2023-08-22 07:11:49.861983253 +0000 UTC m=+29.591932395 ,  5495106
2023-08-22 07:11:49.891146686 +0000 UTC m=+29.621095858 ,  2023-08-22 07:11:49.892890552 +0000 UTC m=+29.622839704 ,  1743766
2023-08-22 07:11:50.155566946 +0000 UTC m=+29.885516108 ,  2023-08-22 07:11:50.16059377 +0000 UTC m=+29.890542922 ,  5026734
2023-08-22 07:11:50.189797269 +0000 UTC m=+29.919746441 ,  2023-08-22 07:11:50.192587708 +0000 UTC m=+29.922536860 ,  2790328
2023-08-22 07:11:50.455408704 +0000 UTC m=+30.185357876 ,  2023-08-22 07:11:50.463406978 +0000 UTC m=+30.193356130 ,  7998164
2023-08-22 07:11:50.492584368 +0000 UTC m=+30.222533540 ,  2023-08-22 07:11:50.495410273 +0000 UTC m=+30.225359415 ,  2825815
2023-08-22 07:11:50.757999473 +0000 UTC m=+30.487948645 ,  2023-08-22 07:11:50.763981467 +0000 UTC m=+30.493930609 ,  5981883
2023-08-22 07:11:50.793058276 +0000 UTC m=+30.523007418 ,  2023-08-22 07:11:50.795895573 +0000 UTC m=+30.525844716 ,  2837217
2023-08-22 07:11:51.058635957 +0000 UTC m=+30.788585129 ,  2023-08-22 07:11:51.065642001 +0000 UTC m=+30.795591153 ,  7005944
2023-08-22 07:11:51.094729752 +0000 UTC m=+30.824678914 ,  2023-08-22 07:11:51.097675504 +0000 UTC m=+30.827624656 ,  2945661
2023-08-22 07:11:51.360560851 +0000 UTC m=+31.090510024 ,  2023-08-22 07:11:51.366592349 +0000 UTC m=+31.096541521 ,  6031337
2023-08-22 07:11:51.395705006 +0000 UTC m=+31.125654168 ,  2023-08-22 07:11:51.398547844 +0000 UTC m=+31.128496986 ,  2842758
2023-08-22 07:11:51.661244385 +0000 UTC m=+31.391193568 ,  2023-08-22 07:11:51.666046606 +0000 UTC m=+31.395995748 ,  4802020
2023-08-22 07:11:51.695039377 +0000 UTC m=+31.424988549 ,  2023-08-22 07:11:51.697883858 +0000 UTC m=+31.427833030 ,  2844091
2023-08-22 07:11:51.960359213 +0000 UTC m=+31.690308376 ,  2023-08-22 07:11:51.966382816 +0000 UTC m=+31.696331968 ,  6023532
2023-08-22 07:11:51.995619287 +0000 UTC m=+31.725568469 ,  2023-08-22 07:11:51.998423462 +0000 UTC m=+31.728372624 ,  2804014
2023-08-22 07:11:52.260759574 +0000 UTC m=+31.990708746 ,  2023-08-22 07:11:52.266649434 +0000 UTC m=+31.996598586 ,  5889470
2023-08-22 07:11:52.295749228 +0000 UTC m=+32.025698390 ,  2023-08-22 07:11:52.298719816 +0000 UTC m=+32.028668958 ,  2970488
2023-08-22 07:11:52.560985837 +0000 UTC m=+32.290935009 ,  2023-08-22 07:11:52.566900704 +0000 UTC m=+32.296849866 ,  5914717
2023-08-22 07:11:52.596244647 +0000 UTC m=+32.326193819 ,  2023-08-22 07:11:52.597995417 +0000 UTC m=+32.327944569 ,  1750680
2023-08-22 07:11:52.861777735 +0000 UTC m=+32.591726907 ,  2023-08-22 07:11:52.867413076 +0000 UTC m=+32.597362218 ,  5635251
2023-08-22 07:11:52.896580396 +0000 UTC m=+32.626529578 ,  2023-08-22 07:11:52.899397695 +0000 UTC m=+32.629346838 ,  2817199
2023-08-22 07:11:53.162122861 +0000 UTC m=+32.892072023 ,  2023-08-22 07:11:53.165890272 +0000 UTC m=+32.895839424 ,  3767331
2023-08-22 07:11:53.195094031 +0000 UTC m=+32.925043193 ,  2023-08-22 07:11:53.197968728 +0000 UTC m=+32.927917871 ,  2874617
2023-08-22 07:11:53.460536798 +0000 UTC m=+33.190485970 ,  2023-08-22 07:11:53.466386393 +0000 UTC m=+33.196335535 ,  5849204
2023-08-22 07:11:53.495496616 +0000 UTC m=+33.225445778 ,  2023-08-22 07:11:53.498453107 +0000 UTC m=+33.228402259 ,  2956411
2023-08-22 07:11:53.761011218 +0000 UTC m=+33.490960390 ,  2023-08-22 07:11:53.766888955 +0000 UTC m=+33.496838097 ,  5877647
2023-08-22 07:11:53.796060964 +0000 UTC m=+33.526010136 ,  2023-08-22 07:11:53.80041489 +0000 UTC m=+33.530364042 ,  4353766
2023-08-22 07:11:54.062793021 +0000 UTC m=+33.792742193 ,  2023-08-22 07:11:54.068806445 +0000 UTC m=+33.798755597 ,  6013323
2023-08-22 07:11:54.097826457 +0000 UTC m=+33.827775629 ,  2023-08-22 07:11:54.100746711 +0000 UTC m=+33.830695853 ,  2920154
2023-08-22 07:11:54.129921826 +0000 UTC m=+33.859870998 ,  2023-08-22 07:11:54.134521955 +0000 UTC m=+33.864471107 ,  4599949
2023-08-22 07:11:54.129972802 +0000 UTC m=+33.859921964 ,  2023-08-22 07:11:54.134555949 +0000 UTC m=+33.864505091 ,  4583007
2023-08-22 07:11:54.129906427 +0000 UTC m=+33.859855599 ,  2023-08-22 07:11:54.134542895 +0000 UTC m=+33.864492047 ,  4636107
2023-08-22 07:11:54.129928599 +0000 UTC m=+33.859877761 ,  2023-08-22 07:11:54.134558454 +0000 UTC m=+33.864507596 ,  4629334
2023-08-22 07:11:54.129986307 +0000 UTC m=+33.859935469 ,  2023-08-22 07:11:54.134592829 +0000 UTC m=+33.864541971 ,  4606452
2023-08-22 07:11:54.12999293 +0000 UTC m=+33.859942092 ,  2023-08-22 07:11:54.13459338 +0000 UTC m=+33.864542522 ,  4600380
2023-08-22 07:11:54.130005894 +0000 UTC m=+33.859955056 ,  2023-08-22 07:11:54.134581567 +0000 UTC m=+33.864530709 ,  4575503
2023-08-22 07:11:54.130043194 +0000 UTC m=+33.859992357 ,  2023-08-22 07:11:54.134604731 +0000 UTC m=+33.864553883 ,  4561396
2023-08-22 07:11:54.130038426 +0000 UTC m=+33.859987588 ,  2023-08-22 07:11:54.134605943 +0000 UTC m=+33.864555085 ,  4567437
2023-08-22 07:11:54.129977561 +0000 UTC m=+33.859926773 ,  2023-08-22 07:11:54.134589192 +0000 UTC m=+33.864538344 ,  4611020
2023-08-22 07:11:54.130090494 +0000 UTC m=+33.860039666 ,  2023-08-22 07:11:54.134615782 +0000 UTC m=+33.864564924 ,  4525208
2023-08-22 07:11:54.130038365 +0000 UTC m=+33.859987527 ,  2023-08-22 07:11:54.134616453 +0000 UTC m=+33.864565595 ,  4577998
2023-08-22 07:11:54.130169683 +0000 UTC m=+33.860118855 ,  2023-08-22 07:11:54.134622054 +0000 UTC m=+33.864571196 ,  4452291
2023-08-22 07:11:54.130177979 +0000 UTC m=+33.860127151 ,  2023-08-22 07:11:54.134622645 +0000 UTC m=+33.864571787 ,  4444335
2023-08-22 07:11:54.130240777 +0000 UTC m=+33.860189949 ,  2023-08-22 07:11:54.134628917 +0000 UTC m=+33.864578059 ,  4388060
2023-08-22 07:11:54.130275011 +0000 UTC m=+33.860224183 ,  2023-08-22 07:11:54.134631582 +0000 UTC m=+33.864580734 ,  4356180
2023-08-22 07:11:54.130332931 +0000 UTC m=+33.860282103 ,  2023-08-22 07:11:54.134636812 +0000 UTC m=+33.864585954 ,  4303700
2023-08-22 07:11:54.130302022 +0000 UTC m=+33.860251194 ,  2023-08-22 07:11:54.134638505 +0000 UTC m=+33.864587647 ,  4336403
2023-08-22 07:11:54.130398224 +0000 UTC m=+33.860347396 ,  2023-08-22 07:11:54.134644947 +0000 UTC m=+33.864594099 ,  4246543
2023-08-22 07:11:54.130361394 +0000 UTC m=+33.860310556 ,  2023-08-22 07:11:54.134644546 +0000 UTC m=+33.864593688 ,  4282972
2023-08-22 07:11:54.130437107 +0000 UTC m=+33.860386269 ,  2023-08-22 07:11:54.134651619 +0000 UTC m=+33.864600761 ,  4214442
2023-08-22 07:11:54.130463156 +0000 UTC m=+33.860412318 ,  2023-08-22 07:11:54.134652341 +0000 UTC m=+33.864601493 ,  4189125
2023-08-22 07:11:54.130494245 +0000 UTC m=+33.860443427 ,  2023-08-22 07:11:54.134660466 +0000 UTC m=+33.864609618 ,  4166141
2023-08-22 07:11:54.130488183 +0000 UTC m=+33.860437415 ,  2023-08-22 07:11:54.134661208 +0000 UTC m=+33.864610360 ,  4172854
2023-08-22 07:11:54.130607909 +0000 UTC m=+33.860557091 ,  2023-08-22 07:11:54.134667509 +0000 UTC m=+33.864616661 ,  4059520
2023-08-22 07:11:54.130822593 +0000 UTC m=+33.860771766 ,  2023-08-22 07:11:54.13466797 +0000 UTC m=+33.864617112 ,  3845286
2023-08-22 07:11:54.130838453 +0000 UTC m=+33.860787635 ,  2023-08-22 07:11:54.134676206 +0000 UTC m=+33.864625348 ,  3837663
2023-08-22 07:11:54.130826881 +0000 UTC m=+33.860776054 ,  2023-08-22 07:11:54.134679873 +0000 UTC m=+33.864629015 ,  3852810
2023-08-22 07:11:54.131012481 +0000 UTC m=+33.860961663 ,  2023-08-22 07:11:54.134686666 +0000 UTC m=+33.864635808 ,  3673994
2023-08-22 07:11:54.131009105 +0000 UTC m=+33.860958287 ,  2023-08-22 07:11:54.134690703 +0000 UTC m=+33.864639845 ,  3681508
2023-08-22 07:11:54.130840217 +0000 UTC m=+33.860789389 ,  2023-08-22 07:11:54.134695592 +0000 UTC m=+33.864644734 ,  3855185
2023-08-22 07:11:54.130886754 +0000 UTC m=+33.860835936 ,  2023-08-22 07:11:54.134697987 +0000 UTC m=+33.864647129 ,  3811143
2023-08-22 07:11:54.130891363 +0000 UTC m=+33.860840545 ,  2023-08-22 07:11:54.134706493 +0000 UTC m=+33.864655635 ,  3814980
2023-08-22 07:11:54.130932581 +0000 UTC m=+33.860881753 ,  2023-08-22 07:11:54.134707645 +0000 UTC m=+33.864656787 ,  3774924
2023-08-22 07:11:54.131046025 +0000 UTC m=+33.860995207 ,  2023-08-22 07:11:54.134716161 +0000 UTC m=+33.864665303 ,  3670046
2023-08-22 07:11:54.131134902 +0000 UTC m=+33.861084054 ,  2023-08-22 07:11:54.134717123 +0000 UTC m=+33.864666275 ,  3582061
2023-08-22 07:11:54.131232566 +0000 UTC m=+33.861181718 ,  2023-08-22 07:11:54.134724637 +0000 UTC m=+33.864673779 ,  3491901
2023-08-22 07:11:54.131364104 +0000 UTC m=+33.861313256 ,  2023-08-22 07:11:54.134724176 +0000 UTC m=+33.864673328 ,  3360022
2023-08-22 07:11:54.131374534 +0000 UTC m=+33.861323676 ,  2023-08-22 07:11:54.13493823 +0000 UTC m=+33.864887372 ,  3563646
2023-08-22 07:11:54.131374474 +0000 UTC m=+33.861323646 ,  2023-08-22 07:11:54.13493321 +0000 UTC m=+33.864882362 ,  3558656
2023-08-22 07:11:54.131509047 +0000 UTC m=+33.861458189 ,  2023-08-22 07:11:54.134948699 +0000 UTC m=+33.864897841 ,  3439602
2023-08-22 07:11:54.13138347 +0000 UTC m=+33.861332613 ,  2023-08-22 07:11:54.134950172 +0000 UTC m=+33.864899314 ,  3566651
2023-08-22 07:11:54.131510851 +0000 UTC m=+33.861460003 ,  2023-08-22 07:11:54.134960662 +0000 UTC m=+33.864909804 ,  3449751
2023-08-22 07:11:54.131532371 +0000 UTC m=+33.861481513 ,  2023-08-22 07:11:54.134961013 +0000 UTC m=+33.864910155 ,  3428591
2023-08-22 07:11:54.131554833 +0000 UTC m=+33.861503976 ,  2023-08-22 07:11:54.134969208 +0000 UTC m=+33.864918360 ,  3414334
2023-08-22 07:11:54.131574891 +0000 UTC m=+33.861524043 ,  2023-08-22 07:11:54.134969569 +0000 UTC m=+33.864918711 ,  3394588
2023-08-22 07:11:54.13158495 +0000 UTC m=+33.861534092 ,  2023-08-22 07:11:54.134976762 +0000 UTC m=+33.864925904 ,  3391762
2023-08-22 07:11:54.131580412 +0000 UTC m=+33.861529564 ,  2023-08-22 07:11:54.134976772 +0000 UTC m=+33.864925914 ,  3396260
2023-08-22 07:11:54.13159017 +0000 UTC m=+33.861539312 ,  2023-08-22 07:11:54.134983826 +0000 UTC m=+33.864932978 ,  3393615
2023-08-22 07:11:54.131587926 +0000 UTC m=+33.861537078 ,  2023-08-22 07:11:54.134984837 +0000 UTC m=+33.864933979 ,  3396771
2023-08-22 07:11:54.163618112 +0000 UTC m=+33.893567264 ,  2023-08-22 07:11:54.166708215 +0000 UTC m=+33.896657357 ,  3089983
2023-08-22 07:11:54.163539113 +0000 UTC m=+33.893488255 ,  2023-08-22 07:11:54.166707504 +0000 UTC m=+33.896656646 ,  3168341
2023-08-22 07:11:54.164049394 +0000 UTC m=+33.893998536 ,  2023-08-22 07:11:54.166746077 +0000 UTC m=+33.896695219 ,  2696462
2023-08-22 07:11:54.164196582 +0000 UTC m=+33.894145724 ,  2023-08-22 07:11:54.166781514 +0000 UTC m=+33.896730656 ,  2584872
2023-08-22 07:11:54.164125718 +0000 UTC m=+33.894074860 ,  2023-08-22 07:11:54.166781163 +0000 UTC m=+33.896730315 ,  2655265
2023-08-22 07:11:54.164067759 +0000 UTC m=+33.894016901 ,  2023-08-22 07:11:54.166769661 +0000 UTC m=+33.896718803 ,  2701852
2023-08-22 07:11:54.16403652 +0000 UTC m=+33.893985672 ,  2023-08-22 07:11:54.166751968 +0000 UTC m=+33.896701120 ,  2715238
2023-08-22 07:11:54.164197343 +0000 UTC m=+33.894146495 ,  2023-08-22 07:11:54.16684848 +0000 UTC m=+33.896797632 ,  2651047
2023-08-22 07:11:54.164236146 +0000 UTC m=+33.894185288 ,  2023-08-22 07:11:54.166855703 +0000 UTC m=+33.896804855 ,  2619507
2023-08-22 07:11:54.164217411 +0000 UTC m=+33.894166553 ,  2023-08-22 07:11:54.166848089 +0000 UTC m=+33.896797241 ,  2630618
2023-08-22 07:11:54.164509612 +0000 UTC m=+33.894458754 ,  2023-08-22 07:11:54.166891872 +0000 UTC m=+33.896841014 ,  2382200
2023-08-22 07:11:54.164493582 +0000 UTC m=+33.894442724 ,  2023-08-22 07:11:54.166903343 +0000 UTC m=+33.896852495 ,  2409691
2023-08-22 07:11:54.164477992 +0000 UTC m=+33.894427154 ,  2023-08-22 07:11:54.166869069 +0000 UTC m=+33.896818211 ,  2391007
2023-08-22 07:11:54.164384636 +0000 UTC m=+33.894333788 ,  2023-08-22 07:11:54.166868197 +0000 UTC m=+33.896817339 ,  2483491
2023-08-22 07:11:54.164111251 +0000 UTC m=+33.894060393 ,  2023-08-22 07:11:54.166769331 +0000 UTC m=+33.896718483 ,  2658040
2023-08-22 07:11:54.164520152 +0000 UTC m=+33.894469324 ,  2023-08-22 07:11:54.166947346 +0000 UTC m=+33.896896498 ,  2427074
2023-08-22 07:11:54.164537284 +0000 UTC m=+33.894486426 ,  2023-08-22 07:11:54.166969618 +0000 UTC m=+33.896918770 ,  2432284
2023-08-22 07:11:54.164521364 +0000 UTC m=+33.894470516 ,  2023-08-22 07:11:54.166972393 +0000 UTC m=+33.896921535 ,  2450969
2023-08-22 07:11:54.164259761 +0000 UTC m=+33.894208933 ,  2023-08-22 07:11:54.166858078 +0000 UTC m=+33.896807220 ,  2598237
2023-08-22 07:11:54.164515222 +0000 UTC m=+33.894464364 ,  2023-08-22 07:11:54.166958227 +0000 UTC m=+33.896907379 ,  2442935
2023-08-22 07:11:54.164541131 +0000 UTC m=+33.894490283 ,  2023-08-22 07:11:54.167006858 +0000 UTC m=+33.896956000 ,  2465667
2023-08-22 07:11:54.164675805 +0000 UTC m=+33.894624957 ,  2023-08-22 07:11:54.167043988 +0000 UTC m=+33.896993140 ,  2368123
2023-08-22 07:11:54.164716391 +0000 UTC m=+33.894665534 ,  2023-08-22 07:11:54.167053556 +0000 UTC m=+33.897002698 ,  2337104
2023-08-22 07:11:54.164692026 +0000 UTC m=+33.894641178 ,  2023-08-22 07:11:54.167064036 +0000 UTC m=+33.897013188 ,  2371950
2023-08-22 07:11:54.164575626 +0000 UTC m=+33.894524808 ,  2023-08-22 07:11:54.167014022 +0000 UTC m=+33.896963174 ,  2438276
2023-08-22 07:11:54.164724767 +0000 UTC m=+33.894673939 ,  2023-08-22 07:11:54.167092259 +0000 UTC m=+33.897041401 ,  2367412
2023-08-22 07:11:54.164739485 +0000 UTC m=+33.894688637 ,  2023-08-22 07:11:54.167110353 +0000 UTC m=+33.897059495 ,  2370808
2023-08-22 07:11:54.16465743 +0000 UTC m=+33.894606582 ,  2023-08-22 07:11:54.167036715 +0000 UTC m=+33.896985867 ,  2379225
2023-08-22 07:11:54.164653743 +0000 UTC m=+33.894602895 ,  2023-08-22 07:11:54.167037366 +0000 UTC m=+33.896986518 ,  2383563
