3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692685233004210587  commit quorum:  [4]
2023-08-22 06:20:50.424213259 +0000 UTC m=+32.602618162 ,  2023-08-22 06:20:50.520373383 +0000 UTC m=+32.698778296 ,  96160024
2023-08-22 06:20:50.782959879 +0000 UTC m=+32.961364792 ,  2023-08-22 06:20:50.874414022 +0000 UTC m=+33.052818925 ,  91454043
2023-08-22 06:20:50.903544541 +0000 UTC m=+33.081949434 ,  2023-08-22 06:20:50.999827437 +0000 UTC m=+33.178232330 ,  96282836
2023-08-22 06:20:51.262278836 +0000 UTC m=+33.440683749 ,  2023-08-22 06:20:51.351565534 +0000 UTC m=+33.529970447 ,  89286608
2023-08-22 06:20:51.380714668 +0000 UTC m=+33.559119561 ,  2023-08-22 06:20:51.477039864 +0000 UTC m=+33.655444757 ,  96325136
2023-08-22 06:20:51.739783496 +0000 UTC m=+33.918188409 ,  2023-08-22 06:20:51.795883119 +0000 UTC m=+33.974288012 ,  56099553
2023-08-22 06:20:51.825006925 +0000 UTC m=+34.003411838 ,  2023-08-22 06:20:51.915116244 +0000 UTC m=+34.093521137 ,  90109229
2023-08-22 06:20:52.177687722 +0000 UTC m=+34.356092615 ,  2023-08-22 06:20:52.266609082 +0000 UTC m=+34.445013975 ,  88921310
2023-08-22 06:20:52.2957762 +0000 UTC m=+34.474181103 ,  2023-08-22 06:20:52.392241479 +0000 UTC m=+34.570646402 ,  96465169
2023-08-22 06:20:52.654617708 +0000 UTC m=+34.833022631 ,  2023-08-22 06:20:52.743680926 +0000 UTC m=+34.922085819 ,  89063108
2023-08-22 06:20:52.772808779 +0000 UTC m=+34.951213672 ,  2023-08-22 06:20:52.869769082 +0000 UTC m=+35.048173975 ,  96960243
2023-08-22 06:20:53.132425759 +0000 UTC m=+35.310830683 ,  2023-08-22 06:20:53.221588014 +0000 UTC m=+35.399992917 ,  89162154
2023-08-22 06:20:53.250711119 +0000 UTC m=+35.429116022 ,  2023-08-22 06:20:53.348974547 +0000 UTC m=+35.527379460 ,  98263328
2023-08-22 06:20:53.614329471 +0000 UTC m=+35.792734394 ,  2023-08-22 06:20:53.710972305 +0000 UTC m=+35.889377208 ,  96642734
2023-08-22 06:20:53.739966898 +0000 UTC m=+35.918371801 ,  2023-08-22 06:20:53.800514084 +0000 UTC m=+35.978918977 ,  60547116
2023-08-22 06:20:54.063136907 +0000 UTC m=+36.241541851 ,  2023-08-22 06:20:54.151910749 +0000 UTC m=+36.330315662 ,  88773711
2023-08-22 06:20:54.181120437 +0000 UTC m=+36.359525330 ,  2023-08-22 06:20:54.278282861 +0000 UTC m=+36.456687784 ,  97162303
2023-08-22 06:20:54.540701319 +0000 UTC m=+36.719106242 ,  2023-08-22 06:20:54.631662835 +0000 UTC m=+36.810067728 ,  90961436
2023-08-22 06:20:54.660705678 +0000 UTC m=+36.839110571 ,  2023-08-22 06:20:54.756291429 +0000 UTC m=+36.934696322 ,  95585681
2023-08-22 06:20:55.018459927 +0000 UTC m=+37.196864850 ,  2023-08-22 06:20:55.11022703 +0000 UTC m=+37.288631943 ,  91766993
2023-08-22 06:20:55.139277328 +0000 UTC m=+37.317682241 ,  2023-08-22 06:20:55.235715897 +0000 UTC m=+37.414120800 ,  96438489
2023-08-22 06:20:55.498166966 +0000 UTC m=+37.676571879 ,  2023-08-22 06:20:55.554211747 +0000 UTC m=+37.732616660 ,  56044680
2023-08-22 06:20:55.583297972 +0000 UTC m=+37.761702895 ,  2023-08-22 06:20:55.674099265 +0000 UTC m=+37.852504178 ,  90801163
2023-08-22 06:20:55.93673964 +0000 UTC m=+38.115144563 ,  2023-08-22 06:20:56.027439652 +0000 UTC m=+38.205844555 ,  90699902
2023-08-22 06:20:56.05655347 +0000 UTC m=+38.234958363 ,  2023-08-22 06:20:56.144337786 +0000 UTC m=+38.322742699 ,  87784236
2023-08-22 06:20:56.406751277 +0000 UTC m=+38.585156200 ,  2023-08-22 06:20:56.497082844 +0000 UTC m=+38.675487737 ,  90331467
2023-08-22 06:20:56.526211509 +0000 UTC m=+38.704616403 ,  2023-08-22 06:20:56.622823255 +0000 UTC m=+38.801228148 ,  96611694
2023-08-22 06:20:56.884875212 +0000 UTC m=+39.063280145 ,  2023-08-22 06:20:56.975250613 +0000 UTC m=+39.153655516 ,  90375280
2023-08-22 06:20:57.004403484 +0000 UTC m=+39.182808397 ,  2023-08-22 06:20:57.101321687 +0000 UTC m=+39.279726580 ,  96918123
2023-08-22 06:20:57.363869348 +0000 UTC m=+39.542274242 ,  2023-08-22 06:20:57.45604904 +0000 UTC m=+39.634453933 ,  92179630
2023-08-22 06:20:57.485194386 +0000 UTC m=+39.663599279 ,  2023-08-22 06:20:57.55995277 +0000 UTC m=+39.738357683 ,  74758294
2023-08-22 06:20:57.823206322 +0000 UTC m=+40.001611245 ,  2023-08-22 06:20:57.912424401 +0000 UTC m=+40.090829294 ,  89217989
2023-08-22 06:20:57.941449311 +0000 UTC m=+40.119854244 ,  2023-08-22 06:20:58.037932404 +0000 UTC m=+40.216337307 ,  96482962
2023-08-22 06:20:58.300694639 +0000 UTC m=+40.479099532 ,  2023-08-22 06:20:58.393121487 +0000 UTC m=+40.571526390 ,  92426798
2023-08-22 06:20:58.422142839 +0000 UTC m=+40.600547733 ,  2023-08-22 06:20:58.519803492 +0000 UTC m=+40.698208405 ,  97660572
2023-08-22 06:20:58.782275151 +0000 UTC m=+40.960680064 ,  2023-08-22 06:20:58.874030292 +0000 UTC m=+41.052435185 ,  91755061
2023-08-22 06:20:58.903097582 +0000 UTC m=+41.081502485 ,  2023-08-22 06:20:58.999439398 +0000 UTC m=+41.177844321 ,  96341666
2023-08-22 06:20:59.262315078 +0000 UTC m=+41.440720011 ,  2023-08-22 06:20:59.36168883 +0000 UTC m=+41.540093743 ,  99373591
2023-08-22 06:20:59.390732805 +0000 UTC m=+41.569137708 ,  2023-08-22 06:20:59.486193911 +0000 UTC m=+41.664598814 ,  95461016
2023-08-22 06:20:59.749009167 +0000 UTC m=+41.927414070 ,  2023-08-22 06:20:59.814777545 +0000 UTC m=+41.993182458 ,  65768288
2023-08-22 06:20:59.84390105 +0000 UTC m=+42.022305944 ,  2023-08-22 06:20:59.941751421 +0000 UTC m=+42.120156324 ,  97850289
2023-08-22 06:21:00.204594009 +0000 UTC m=+42.382998932 ,  2023-08-22 06:21:00.294906269 +0000 UTC m=+42.473311172 ,  90312180
2023-08-22 06:21:00.324070101 +0000 UTC m=+42.502475014 ,  2023-08-22 06:21:00.414842309 +0000 UTC m=+42.593247202 ,  90772128
2023-08-22 06:21:00.677203168 +0000 UTC m=+42.855608071 ,  2023-08-22 06:21:00.776138984 +0000 UTC m=+42.954543887 ,  98935746
2023-08-22 06:21:00.805280974 +0000 UTC m=+42.983685868 ,  2023-08-22 06:21:00.901917537 +0000 UTC m=+43.080322430 ,  96636502
2023-08-22 06:21:00.931016897 +0000 UTC m=+43.109421800 ,  2023-08-22 06:21:01.029670801 +0000 UTC m=+43.208075694 ,  98653494
2023-08-22 06:21:00.932624307 +0000 UTC m=+43.111029200 ,  2023-08-22 06:21:01.030028195 +0000 UTC m=+43.208433118 ,  97403808
2023-08-22 06:21:00.932686624 +0000 UTC m=+43.111091517 ,  2023-08-22 06:21:01.030077688 +0000 UTC m=+43.208482601 ,  97390984
2023-08-22 06:21:00.932717422 +0000 UTC m=+43.111122325 ,  2023-08-22 06:21:01.030172246 +0000 UTC m=+43.208577160 ,  97454734
2023-08-22 06:21:00.932818843 +0000 UTC m=+43.111223736 ,  2023-08-22 06:21:01.030190521 +0000 UTC m=+43.208595444 ,  97371598
2023-08-22 06:21:00.932968666 +0000 UTC m=+43.111373589 ,  2023-08-22 06:21:01.030208134 +0000 UTC m=+43.208613047 ,  97239358
2023-08-22 06:21:00.931864484 +0000 UTC m=+43.110269408 ,  2023-08-22 06:21:01.029824802 +0000 UTC m=+43.208229705 ,  97960226
2023-08-22 06:21:00.931818017 +0000 UTC m=+43.110222960 ,  2023-08-22 06:21:01.029786229 +0000 UTC m=+43.208191142 ,  97967972
2023-08-22 06:21:00.932025308 +0000 UTC m=+43.110430241 ,  2023-08-22 06:21:01.029872381 +0000 UTC m=+43.208277294 ,  97846823
2023-08-22 06:21:00.932081213 +0000 UTC m=+43.110486136 ,  2023-08-22 06:21:01.029893741 +0000 UTC m=+43.208298645 ,  97812438
2023-08-22 06:21:00.932096592 +0000 UTC m=+43.110501525 ,  2023-08-22 06:21:01.029895284 +0000 UTC m=+43.208300207 ,  97798572
2023-08-22 06:21:00.932118593 +0000 UTC m=+43.110523517 ,  2023-08-22 06:21:01.029907337 +0000 UTC m=+43.208312240 ,  97788663
2023-08-22 06:21:00.932114406 +0000 UTC m=+43.110519329 ,  2023-08-22 06:21:01.029907407 +0000 UTC m=+43.208312330 ,  97792901
2023-08-22 06:21:00.932074941 +0000 UTC m=+43.110479874 ,  2023-08-22 06:21:01.029868855 +0000 UTC m=+43.208273768 ,  97792892
2023-08-22 06:21:00.932126679 +0000 UTC m=+43.110531602 ,  2023-08-22 06:21:01.029915492 +0000 UTC m=+43.208320416 ,  97788713
2023-08-22 06:21:00.932135956 +0000 UTC m=+43.110540879 ,  2023-08-22 06:21:01.029917096 +0000 UTC m=+43.208321999 ,  97780949
2023-08-22 06:21:00.932150634 +0000 UTC m=+43.110555567 ,  2023-08-22 06:21:01.029928467 +0000 UTC m=+43.208333380 ,  97777703
2023-08-22 06:21:00.932271742 +0000 UTC m=+43.110676675 ,  2023-08-22 06:21:01.029929058 +0000 UTC m=+43.208333971 ,  97657086
2023-08-22 06:21:00.932323209 +0000 UTC m=+43.110728142 ,  2023-08-22 06:21:01.029944517 +0000 UTC m=+43.208349440 ,  97621188
2023-08-22 06:21:00.932309593 +0000 UTC m=+43.110714517 ,  2023-08-22 06:21:01.02994607 +0000 UTC m=+43.208350993 ,  97636266
2023-08-22 06:21:00.932334801 +0000 UTC m=+43.110739724 ,  2023-08-22 06:21:01.029955007 +0000 UTC m=+43.208359930 ,  97620096
2023-08-22 06:21:00.93233949 +0000 UTC m=+43.110744423 ,  2023-08-22 06:21:01.029957021 +0000 UTC m=+43.208361934 ,  97617290
2023-08-22 06:21:00.932394293 +0000 UTC m=+43.110799266 ,  2023-08-22 06:21:01.029962952 +0000 UTC m=+43.208367865 ,  97568499
2023-08-22 06:21:00.932404182 +0000 UTC m=+43.110809135 ,  2023-08-22 06:21:01.029964605 +0000 UTC m=+43.208369528 ,  97560263
2023-08-22 06:21:00.932483351 +0000 UTC m=+43.110888254 ,  2023-08-22 06:21:01.029971989 +0000 UTC m=+43.208376912 ,  97488558
2023-08-22 06:21:00.932493721 +0000 UTC m=+43.110898624 ,  2023-08-22 06:21:01.029974183 +0000 UTC m=+43.208379096 ,  97480372
2023-08-22 06:21:00.932522996 +0000 UTC m=+43.110927899 ,  2023-08-22 06:21:01.029980936 +0000 UTC m=+43.208385859 ,  97457740
2023-08-22 06:21:00.932526512 +0000 UTC m=+43.110931425 ,  2023-08-22 06:21:01.029982749 +0000 UTC m=+43.208387662 ,  97456027
2023-08-22 06:21:00.932549756 +0000 UTC m=+43.110954649 ,  2023-08-22 06:21:01.02999351 +0000 UTC m=+43.208398433 ,  97443683
2023-08-22 06:21:00.932527133 +0000 UTC m=+43.110932027 ,  2023-08-22 06:21:01.029996104 +0000 UTC m=+43.208401018 ,  97468890
2023-08-22 06:21:00.932626431 +0000 UTC m=+43.111031324 ,  2023-08-22 06:21:01.030018777 +0000 UTC m=+43.208423700 ,  97392256
2023-08-22 06:21:00.932635909 +0000 UTC m=+43.111040832 ,  2023-08-22 06:21:01.03003621 +0000 UTC m=+43.208441133 ,  97400201
2023-08-22 06:21:00.932628885 +0000 UTC m=+43.111033808 ,  2023-08-22 06:21:01.030036761 +0000 UTC m=+43.208441664 ,  97407776
2023-08-22 06:21:00.932654474 +0000 UTC m=+43.111059387 ,  2023-08-22 06:21:01.030055226 +0000 UTC m=+43.208460149 ,  97400652
2023-08-22 06:21:00.932673099 +0000 UTC m=+43.111077992 ,  2023-08-22 06:21:01.030054444 +0000 UTC m=+43.208459357 ,  97381265
2023-08-22 06:21:00.932733172 +0000 UTC m=+43.111138065 ,  2023-08-22 06:21:01.030070394 +0000 UTC m=+43.208475318 ,  97337142
2023-08-22 06:21:00.930991619 +0000 UTC m=+43.109396512 ,  2023-08-22 06:21:01.029697211 +0000 UTC m=+43.208102114 ,  98704931
2023-08-22 06:21:00.932772847 +0000 UTC m=+43.111177750 ,  2023-08-22 06:21:01.030112634 +0000 UTC m=+43.208517537 ,  97339717
2023-08-22 06:21:00.93276949 +0000 UTC m=+43.111174413 ,  2023-08-22 06:21:01.030118475 +0000 UTC m=+43.208523368 ,  97348895
2023-08-22 06:21:00.932777305 +0000 UTC m=+43.111182208 ,  2023-08-22 06:21:01.030140306 +0000 UTC m=+43.208545209 ,  97362921
2023-08-22 06:21:00.932776914 +0000 UTC m=+43.111181807 ,  2023-08-22 06:21:01.030150796 +0000 UTC m=+43.208555699 ,  97373842
2023-08-22 06:21:00.931795925 +0000 UTC m=+43.110200838 ,  2023-08-22 06:21:01.029793833 +0000 UTC m=+43.208198736 ,  97997708
2023-08-22 06:21:00.932794057 +0000 UTC m=+43.111198960 ,  2023-08-22 06:21:01.030173178 +0000 UTC m=+43.208578071 ,  97378801
2023-08-22 06:21:00.932904214 +0000 UTC m=+43.111309117 ,  2023-08-22 06:21:01.030193316 +0000 UTC m=+43.208598209 ,  97289042
2023-08-22 06:21:00.932963155 +0000 UTC m=+43.111368048 ,  2023-08-22 06:21:01.030208314 +0000 UTC m=+43.208613208 ,  97245109
2023-08-22 06:21:00.932020909 +0000 UTC m=+43.110425832 ,  2023-08-22 06:21:01.029819181 +0000 UTC m=+43.208224084 ,  97798162
2023-08-22 06:21:00.93103972 +0000 UTC m=+43.109444623 ,  2023-08-22 06:21:01.02976048 +0000 UTC m=+43.208165403 ,  98720470
2023-08-22 06:21:00.931037175 +0000 UTC m=+43.109442078 ,  2023-08-22 06:21:01.029766442 +0000 UTC m=+43.208171365 ,  98729016
2023-08-22 06:21:00.9330136 +0000 UTC m=+43.111418503 ,  2023-08-22 06:21:01.030234844 +0000 UTC m=+43.208639768 ,  97221094
2023-08-22 06:21:00.933028949 +0000 UTC m=+43.111433852 ,  2023-08-22 06:21:01.030235706 +0000 UTC m=+43.208640609 ,  97206707
2023-08-22 06:21:01.059151159 +0000 UTC m=+43.237556052 ,  2023-08-22 06:21:01.156580165 +0000 UTC m=+43.334985088 ,  97428896
2023-08-22 06:21:01.05912507 +0000 UTC m=+43.237529973 ,  2023-08-22 06:21:01.156628416 +0000 UTC m=+43.335033339 ,  97503036
2023-08-22 06:21:01.059174784 +0000 UTC m=+43.237579687 ,  2023-08-22 06:21:01.156664795 +0000 UTC m=+43.335069728 ,  97489911
2023-08-22 06:21:01.05916748 +0000 UTC m=+43.237572393 ,  2023-08-22 06:21:01.156701354 +0000 UTC m=+43.335106287 ,  97533773
2023-08-22 06:21:01.059297746 +0000 UTC m=+43.237702649 ,  2023-08-22 06:21:01.156728715 +0000 UTC m=+43.335133648 ,  97430869
2023-08-22 06:21:01.059636915 +0000 UTC m=+43.238041818 ,  2023-08-22 06:21:01.15675272 +0000 UTC m=+43.335157653 ,  97115715
2023-08-22 06:21:01.059227102 +0000 UTC m=+43.237632035 ,  2023-08-22 06:21:01.156734416 +0000 UTC m=+43.335139339 ,  97507184
2023-08-22 06:21:01.059641423 +0000 UTC m=+43.238046326 ,  2023-08-22 06:21:01.156755175 +0000 UTC m=+43.335160108 ,  97113592
2023-08-22 06:21:01.059662713 +0000 UTC m=+43.238067606 ,  2023-08-22 06:21:01.156794389 +0000 UTC m=+43.335199312 ,  97131355
2023-08-22 06:21:01.059658025 +0000 UTC m=+43.238062918 ,  2023-08-22 06:21:01.156794409 +0000 UTC m=+43.335199342 ,  97136073
2023-08-22 06:21:01.059735481 +0000 UTC m=+43.238140384 ,  2023-08-22 06:21:01.156865763 +0000 UTC m=+43.335270697 ,  97130192
2023-08-22 06:21:01.059752272 +0000 UTC m=+43.238157185 ,  2023-08-22 06:21:01.156894968 +0000 UTC m=+43.335299902 ,  97142596
2023-08-22 06:21:01.05966609 +0000 UTC m=+43.238071003 ,  2023-08-22 06:21:01.156818234 +0000 UTC m=+43.335223167 ,  97152044
2023-08-22 06:21:01.059796135 +0000 UTC m=+43.238201058 ,  2023-08-22 06:21:01.15691676 +0000 UTC m=+43.335321683 ,  97120304
2023-08-22 06:21:01.059741622 +0000 UTC m=+43.238146525 ,  2023-08-22 06:21:01.156965902 +0000 UTC m=+43.335370835 ,  97224160
2023-08-22 06:21:01.059865185 +0000 UTC m=+43.238270088 ,  2023-08-22 06:21:01.156982734 +0000 UTC m=+43.335387667 ,  97117459
2023-08-22 06:21:01.059696728 +0000 UTC m=+43.238101641 ,  2023-08-22 06:21:01.156810329 +0000 UTC m=+43.335215252 ,  97113491
2023-08-22 06:21:01.059716415 +0000 UTC m=+43.238121338 ,  2023-08-22 06:21:01.156849944 +0000 UTC m=+43.335254867 ,  97133408
2023-08-22 06:21:01.059872108 +0000 UTC m=+43.238277011 ,  2023-08-22 06:21:01.15702865 +0000 UTC m=+43.335433564 ,  97156472
2023-08-22 06:21:01.059735501 +0000 UTC m=+43.238140394 ,  2023-08-22 06:21:01.156878958 +0000 UTC m=+43.335283891 ,  97143377
2023-08-22 06:21:01.059902896 +0000 UTC m=+43.238307819 ,  2023-08-22 06:21:01.157047276 +0000 UTC m=+43.335452179 ,  97144300
2023-08-22 06:21:01.05994194 +0000 UTC m=+43.238346843 ,  2023-08-22 06:21:01.157066301 +0000 UTC m=+43.335471204 ,  97124291
2023-08-22 06:21:01.059669847 +0000 UTC m=+43.238074750 ,  2023-08-22 06:21:01.156835536 +0000 UTC m=+43.335240470 ,  97165589
2023-08-22 06:21:01.059925379 +0000 UTC m=+43.238330312 ,  2023-08-22 06:21:01.157077893 +0000 UTC m=+43.335482806 ,  97152394
2023-08-22 06:21:01.05994715 +0000 UTC m=+43.238352053 ,  2023-08-22 06:21:01.157093873 +0000 UTC m=+43.335498766 ,  97146653
2023-08-22 06:21:01.059709031 +0000 UTC m=+43.238113924 ,  2023-08-22 06:21:01.156848411 +0000 UTC m=+43.335253344 ,  97139290
2023-08-22 06:21:01.059815341 +0000 UTC m=+43.238220254 ,  2023-08-22 06:21:01.15695392 +0000 UTC m=+43.335358843 ,  97138468
2023-08-22 06:21:01.059754106 +0000 UTC m=+43.238159009 ,  2023-08-22 06:21:01.156966974 +0000 UTC m=+43.335371897 ,  97212768
2023-08-22 06:21:01.059711816 +0000 UTC m=+43.238116709 ,  2023-08-22 06:21:01.156864942 +0000 UTC m=+43.335269875 ,  97153046
2023-08-22 06:21:01.059754406 +0000 UTC m=+43.238159309 ,  2023-08-22 06:21:01.157019183 +0000 UTC m=+43.335424086 ,  97264707
2023-08-22 06:21:01.059956557 +0000 UTC m=+43.238361480 ,  2023-08-22 06:21:01.157149839 +0000 UTC m=+43.335554732 ,  97193202
